candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
12,37.5,0.0,67.5,66.0,15,1.4,30.0,32.5,1.2799100574455666,0.6579249124174668,-0.7815854793609471,601498.9047340712,130,13
76,40.5,0.0,67.0,66.0,15,1.4,30.0,32.5,1.272867335828872,0.6549777580752177,-0.7713369194045917,572189.031579052,139,16
79,40.5,0.0,67.0,66.0,20,1.6,30.0,32.5,1.271435295431933,0.647586490240768,-0.7713369194045923,566395.5883994735,135,16
8,37.5,0.0,67.5,65.0,15,1.4,30.0,32.5,1.2710751389122703,0.6595073314745793,-0.7815854793609474,564947.2285273826,128,13
109,40.5,0.1,67.5,66.0,15,1.6,30.0,32.5,1.2685857212938383,0.6405772295294514,-0.7776330162254854,555030.7002088935,123,16
47,37.5,0.1,68.0,66.0,20,1.6,30.0,32.5,1.267173365960315,0.6454759443608968,-0.7875993884076187,549477.4604090846,134,13
85,40.5,0.0,67.5,66.0,15,1.6,30.0,32.5,1.260003948970851,0.6434489309123257,-0.7713369194045923,522082.80714386154,116,16
158,43.0,0.0,67.5,66.0,20,1.4,30.0,32.5,1.2560787061275338,0.6427239206899709,-0.7575311035781369,507632.38563002757,142,17
78,40.5,0.0,67.0,66.0,20,1.4,30.0,32.5,1.2556816889741147,0.6585608360628824,-0.7713369194045923,506191.88720982114,154,16
178,43.0,0.1,67.5,65.0,20,1.4,30.0,32.5,1.2511586422899543,0.6417251744098919,-0.7642073350185256,490049.31713149283,151,17
118,40.5,0.1,68.0,66.0,20,1.4,30.0,32.5,1.2503732805981191,0.6494800448517799,-0.7776330162254856,487296.08102524915,142,16
81,40.5,0.0,67.5,65.0,15,1.6,30.0,32.5,1.248764236811529,0.645271865648748,-0.771336919404592,481700.52573537215,114,16
167,43.0,0.0,68.0,66.0,20,1.6,30.0,32.5,1.247154354037836,0.6322529642811991,-0.7575311035781369,476162.41653987847,123,17
135,40.5,0.3,67.5,66.0,20,1.6,30.0,32.5,1.2471098494365616,0.6316495149439645,-0.7741176788979385,476010.1694031435,159,16
105,40.5,0.1,67.5,65.0,15,1.6,30.0,32.5,1.2458148237004276,0.6420550673390284,-0.7776330162254855,471599.92188524816,121,16
180,43.0,0.1,67.5,66.0,15,1.4,30.0,32.5,1.238331190476905,0.6369486480530144,-0.7642073350185259,446855.72387543024,138,17
14,37.5,0.0,67.5,66.0,20,1.4,30.0,32.5,1.2375309960980894,0.6590793882976845,-0.7815854793609474,444283.2547102525,142,13
99,40.5,0.1,67.0,65.0,20,1.6,30.0,32.5,1.2338314711113263,0.6473329305560186,-0.7776330162254858,432569.5520384385,141,16
34,37.5,0.1,67.5,65.0,20,1.4,30.0,32.5,1.23265138116734,0.6581055118424212,-0.7875993884076187,428894.43571158586,151,13
72,40.5,0.0,67.0,65.0,15,1.4,30.0,32.5,1.2324298329746979,0.6569441310949518,-0.7713369194045923,428207.749214409,135,16
100,40.5,0.1,67.0,66.0,15,1.4,30.0,32.5,1.231707008204054,0.651184785337377,-0.7776330162254855,425974.5254190271,147,16
187,43.0,0.1,68.0,65.0,20,1.6,30.0,32.5,1.2298315212466573,0.630278501050081,-0.764207335018526,420230.90522506356,131,17
92,40.5,0.0,68.0,66.0,15,1.4,30.0,32.5,1.2295077696607755,0.6497881412379442,-0.7713369194045923,419246.80912741553,120,16
