split_id,train_years,test_years,selected_train_cagr,selected_test_cagr,selected_test_rank,selected_test_rank_pct,is_oos_below_median,is_oos_loss
405,"2010,2011,2014,2016,2017,2020,2021,2025","2012,2013,2015,2018,2019,2022,2023,2024",2.5858517837135846,0.7980889355054988,13,0.06018518518518518,False,False
406,"2010,2012,2013,2015,2016,2018,2023,2025","2011,2014,2017,2019,2020,2021,2022,2024",1.6980122142573695,1.4900814105916136,21,0.09722222222222222,False,False
407,"2010,2011,2012,2017,2018,2020,2022,2025","2013,2014,2015,2016,2019,2021,2023,2024",1.1468574803349671,2.117885306640668,1,0.004629629629629629,False,False
408,"2010,2013,2015,2018,2019,2022,2023,2024","2011,2012,2014,2016,2017,2020,2021,2025",1.162896304156782,2.0962336531787673,12,0.05555555555555555,False,False
409,"2010,2012,2013,2014,2018,2020,2021,2025","2011,2015,2016,2017,2019,2022,2023,2024",2.5327330593598973,0.9086393042813299,9,0.041666666666666664,False,False
410,"2013,2016,2017,2018,2019,2021,2022,2025","2010,2011,2012,2014,2015,2020,2023,2024",1.2740501942050906,1.9573550755444162,2,0.009259259259259259,False,False
411,"2012,2013,2015,2016,2019,2022,2023,2024","2010,2011,2014,2017,2018,2020,2021,2025",1.1564925958493273,2.120739284417487,2,0.009259259259259259,False,False
412,"2012,2016,2017,2021,2022,2023,2024,2025","2010,2011,2013,2014,2015,2018,2019,2020",1.1252577274819462,1.911655257594345,27,0.125,False,False
413,"2011,2014,2017,2019,2020,2021,2023,2025","2010,2012,2013,2015,2016,2018,2022,2024",2.643784719320737,0.6864369062006279,38,0.17592592592592593,False,False
414,"2011,2012,2014,2015,2016,2017,2019,2024","2010,2013,2018,2020,2021,2022,2023,2025",1.400234351763944,1.4934739136290425,32,0.14814814814814814,False,False
415,"2012,2013,2014,2016,2019,2020,2021,2024","2010,2011,2015,2017,2018,2022,2023,2025",2.7922365862777014,0.7588413033485981,1,0.004629629629629629,False,False
416,"2013,2014,2015,2016,2017,2018,2020,2025","2010,2011,2012,2019,2021,2022,2023,2024",1.738412494685237,1.3420402493766246,5,0.023148148148148147,False,False
417,"2012,2013,2014,2019,2021,2022,2023,2024","2010,2011,2015,2016,2017,2018,2020,2025",1.4376238793337013,1.5351953920424926,22,0.10185185185185185,False,False
418,"2013,2014,2015,2017,2020,2021,2022,2024","2010,2011,2012,2016,2018,2019,2023,2025",1.481345062796826,1.3903341787458081,31,0.14351851851851852,False,False
419,"2012,2014,2015,2017,2018,2019,2021,2023","2010,2011,2013,2016,2020,2022,2024,2025",1.305389876099973,1.9162842165219511,2,0.009259259259259259,False,False
420,"2011,2014,2015,2018,2020,2021,2024,2025","2010,2012,2013,2016,2017,2019,2022,2023",1.8775371504963174,0.7949260089750017,157,0.7268518518518519,True,False
421,"2010,2014,2015,2016,2017,2020,2024,2025","2011,2012,2013,2018,2019,2021,2022,2023",2.0332802094153175,0.9766165242217597,42,0.19444444444444445,False,False
422,"2011,2012,2014,2016,2017,2021,2023,2025","2010,2013,2015,2018,2019,2020,2022,2024",1.7584706383192175,1.2371650575907296,26,0.12037037037037036,False,False
423,"2010,2011,2014,2017,2019,2020,2021,2023","2012,2013,2015,2016,2018,2022,2024,2025",2.757553747957427,0.7946648636586913,1,0.004629629629629629,False,False
424,"2012,2016,2018,2019,2021,2022,2024,2025","2010,2011,2013,2014,2015,2017,2020,2023",1.0645607628816696,2.260810897154166,4,0.018518518518518517,False,False
425,"2010,2012,2013,2017,2020,2021,2023,2024","2011,2014,2015,2016,2018,2019,2022,2025",2.885639573646603,0.65238181228949,53,0.24537037037037038,False,False
426,"2012,2013,2018,2019,2020,2021,2022,2025","2010,2011,2014,2015,2016,2017,2023,2024",1.7035515094591736,1.4819026262200858,7,0.032407407407407406,False,False
427,"2010,2011,2014,2017,2019,2021,2022,2024","2012,2013,2015,2016,2018,2020,2023,2025",1.3081913874107238,1.9046230512696085,1,0.004629629629629629,False,False
428,"2010,2011,2012,2013,2016,2018,2024,2025","2014,2015,2017,2019,2020,2021,2022,2023",1.8456995424396978,1.3625376758483658,1,0.004629629629629629,False,False
429,"2011,2015,2017,2019,2020,2021,2022,2025","2010,2012,2013,2014,2016,2018,2023,2024",1.5373170820142872,1.4342053958227519,24,0.1111111111111111,False,False
430,"2010,2012,2015,2016,2018,2020,2022,2024","2011,2013,2014,2017,2019,2021,2023,2025",1.0355281158322178,2.126661815341035,16,0.07407407407407407,False,False
431,"2011,2014,2016,2018,2019,2020,2021,2024","2010,2012,2013,2015,2017,2022,2023,2025",2.174668092402124,0.9685235188815742,10,0.046296296296296294,False,False
432,"2014,2015,2017,2020,2021,2022,2023,2025","2010,2011,2012,2013,2016,2018,2019,2024",1.3182381594806696,1.13353503389413,165,0.7638888888888888,True,False
433,"2010,2011,2014,2016,2018,2019,2023,2024","2012,2013,2015,2017,2020,2021,2022,2025",1.7280688017677428,1.4626067471822393,2,0.009259259259259259,False,False
434,"2012,2015,2016,2017,2019,2020,2024,2025","2010,2011,2013,2014,2018,2021,2022,2023",2.0212766089154446,0.9744641212757179,56,0.25925925925925924,False,False
435,"2010,2011,2012,2014,2016,2018,2020,2023","2013,2015,2017,2019,2021,2022,2024,2025",1.8954882143331107,1.2083780119899452,14,0.06481481481481481,False,False
436,"2010,2012,2015,2016,2017,2018,2020,2021","2011,2013,2014,2019,2022,2023,2024,2025",1.8504937061000288,1.2424805682147366,26,0.12037037037037036,False,False
437,"2011,2012,2017,2018,2020,2021,2022,2023","2010,2013,2014,2015,2016,2019,2024,2025",1.108847248561256,2.033008647612039,5,0.023148148148148147,False,False
438,"2010,2011,2013,2014,2019,2021,2023,2024","2012,2015,2016,2017,2018,2020,2022,2025",2.676833991165167,0.8335887200498371,1,0.004629629629629629,False,False
439,"2010,2011,2012,2014,2017,2018,2020,2024","2013,2015,2016,2019,2021,2022,2023,2025",1.6883160666965864,1.3759622675711718,9,0.041666666666666664,False,False
440,"2011,2012,2014,2016,2017,2018,2023,2025","2010,2013,2015,2019,2020,2021,2022,2024",1.2041811048609277,1.8063702583953183,17,0.0787037037037037,False,False
441,"2011,2013,2014,2015,2019,2021,2023,2024","2010,2012,2016,2017,2018,2020,2022,2025",2.0791459691375214,0.9659623182034418,17,0.0787037037037037,False,False
442,"2010,2011,2013,2014,2020,2021,2022,2024","2012,2015,2016,2017,2018,2019,2023,2025",2.0297338376215803,1.0755182607676868,20,0.09259259259259259,False,False
443,"2010,2015,2016,2017,2018,2019,2021,2022","2011,2012,2013,2014,2020,2023,2024,2025",1.0047049459822888,2.3378742698214063,6,0.027777777777777776,False,False
444,"2010,2011,2013,2018,2020,2021,2022,2024","2012,2014,2015,2016,2017,2019,2023,2025",1.7748422097450902,1.2644178392530536,26,0.12037037037037036,False,False
445,"2010,2012,2013,2018,2020,2021,2023,2024","2011,2014,2015,2016,2017,2019,2022,2025",2.6210936572766523,0.7713606808061602,61,0.2824074074074074,False,False
446,"2010,2012,2015,2016,2017,2022,2023,2025","2011,2013,2014,2018,2019,2020,2021,2024",0.9345476925242775,2.452355984522039,3,0.013888888888888888,False,False
447,"2010,2013,2015,2017,2018,2021,2023,2025","2011,2012,2014,2016,2019,2020,2022,2024",1.8764205126591151,1.337919906488351,12,0.05555555555555555,False,False
448,"2010,2013,2016,2018,2019,2022,2023,2024","2011,2012,2014,2015,2017,2020,2021,2025",1.3598494474694287,1.8412656988993978,5,0.023148148148148147,False,False
449,"2012,2016,2017,2019,2021,2022,2023,2024","2010,2011,2013,2014,2015,2018,2020,2025",1.1956717769909933,1.8180634175701256,20,0.09259259259259259,False,False
450,"2010,2011,2013,2016,2021,2023,2024,2025","2012,2014,2015,2017,2018,2019,2020,2022",2.657882334698284,0.8442311643065965,2,0.009259259259259259,False,False
451,"2011,2013,2017,2018,2020,2022,2023,2024","2010,2012,2014,2015,2016,2019,2021,2025",1.2532990392817873,1.7895855738835653,8,0.037037037037037035,False,False
452,"2011,2012,2013,2016,2017,2018,2020,2023","2010,2014,2015,2019,2021,2022,2024,2025",1.9105955144734135,1.188686213626227,8,0.037037037037037035,False,False
453,"2011,2012,2018,2019,2020,2021,2024,2025","2010,2013,2014,2015,2016,2017,2022,2023",2.257003919185994,0.8896975985265845,40,0.18518518518518517,False,False
454,"2010,2012,2015,2016,2017,2018,2022,2024","2011,2013,2014,2019,2020,2021,2023,2025",0.6313913886124196,3.0870369606126733,3,0.013888888888888888,False,False
455,"2010,2013,2015,2019,2020,2023,2024,2025","2011,2012,2014,2016,2017,2018,2021,2022",3.004903263996857,0.6858311505465471,12,0.05555555555555555,False,False
456,"2011,2012,2013,2014,2015,2018,2019,2020","2010,2016,2017,2021,2022,2023,2024,2025",1.8538933626216,1.3487995225635432,1,0.004629629629629629,False,False
457,"2011,2016,2017,2021,2022,2023,2024,2025","2010,2012,2013,2014,2015,2018,2019,2020",1.3180548346321301,1.1337950091462448,195,0.9027777777777778,True,False
458,"2011,2013,2014,2015,2016,2017,2019,2024","2010,2012,2018,2020,2021,2022,2023,2025",1.7330169589441597,1.3463729355814893,4,0.018518518518518517,False,False
459,"2012,2013,2015,2016,2019,2021,2022,2025","2010,2011,2014,2017,2018,2020,2023,2024",1.4009788043824583,1.5743996715143163,41,0.18981481481481483,False,False
460,"2015,2016,2017,2018,2020,2021,2023,2024","2010,2011,2012,2013,2014,2019,2022,2025",1.8291786867829507,0.8950441061726959,126,0.5833333333333334,True,False
461,"2010,2012,2014,2015,2016,2017,2022,2023","2011,2013,2018,2019,2020,2021,2024,2025",0.79973188941809,2.7088436929462802,2,0.009259259259259259,False,False
462,"2013,2014,2015,2020,2021,2022,2023,2024","2010,2011,2012,2016,2017,2018,2019,2025",1.6041119352758981,1.2759133157029034,32,0.14814814814814814,False,False
463,"2010,2012,2013,2019,2020,2022,2023,2025","2011,2014,2015,2016,2017,2018,2021,2024",2.1311142284716733,1.150644068984195,43,0.19907407407407407,False,False
464,"2010,2011,2014,2016,2021,2022,2023,2025","2012,2013,2015,2017,2018,2019,2020,2024",1.3768491324682404,1.5149659892582483,45,0.20833333333333334,False,False
465,"2011,2012,2013,2014,2016,2017,2023,2025","2010,2015,2018,2019,2020,2021,2022,2024",1.8223794297570133,1.185953209518357,35,0.16203703703703703,False,False
466,"2010,2012,2015,2017,2018,2020,2023,2024","2011,2013,2014,2016,2019,2021,2022,2025",1.6415418334148577,1.4176980731930837,29,0.13425925925925927,False,False
467,"2010,2011,2013,2015,2016,2017,2018,2020","2012,2014,2019,2021,2022,2023,2024,2025",2.08627026697175,1.0382937874317566,61,0.2824074074074074,False,False
468,"2011,2012,2015,2017,2019,2021,2024,2025","2010,2013,2014,2016,2018,2020,2022,2023",1.7478064494357795,1.2454874438113697,29,0.13425925925925927,False,False
469,"2010,2011,2013,2016,2020,2021,2023,2024","2012,2014,2015,2017,2018,2019,2022,2025",3.260036071700104,0.48190489904415057,38,0.17592592592592593,False,False
470,"2011,2013,2014,2017,2018,2020,2021,2025","2010,2012,2015,2016,2019,2022,2023,2024",2.2177727421191142,0.8285679365856289,44,0.2037037037037037,False,False
471,"2011,2014,2016,2019,2020,2021,2022,2025","2010,2012,2013,2015,2017,2018,2023,2024",1.8382390102606512,1.1721411756068156,32,0.14814814814814814,False,False
472,"2013,2014,2015,2016,2017,2020,2021,2025","2010,2011,2012,2018,2019,2022,2023,2024",2.3416512135940613,0.7806043848769659,26,0.12037037037037036,False,False
473,"2015,2016,2017,2019,2020,2022,2023,2025","2010,2011,2012,2013,2014,2018,2021,2024",1.3694517926573022,1.6091053181113675,27,0.125,False,False
474,"2010,2011,2015,2017,2019,2020,2022,2024","2012,2013,2014,2016,2018,2021,2023,2025",1.418215502353438,1.7741998169658513,1,0.004629629629629629,False,False
475,"2010,2011,2014,2016,2019,2020,2024,2025","2012,2013,2015,2017,2018,2021,2022,2023",2.6898538249006805,0.8265568359887352,2,0.009259259259259259,False,False
476,"2011,2012,2015,2016,2018,2020,2021,2025","2010,2013,2014,2017,2019,2022,2023,2024",1.7744896065807558,1.4174572991012542,1,0.004629629629629629,False,False
477,"2011,2012,2015,2017,2018,2022,2023,2024","2010,2013,2014,2016,2019,2020,2021,2025",0.5047957677552095,2.657448919709337,66,0.3055555555555556,False,False
478,"2010,2013,2014,2015,2019,2020,2023,2024","2011,2012,2016,2017,2018,2021,2022,2025",2.7237564083545096,0.8101084091817168,3,0.013888888888888888,False,False
479,"2010,2012,2013,2014,2018,2019,2022,2023","2011,2015,2016,2017,2020,2021,2024,2025",1.1850691647248377,2.0642197046913893,30,0.1388888888888889,False,False
480,"2012,2014,2015,2016,2017,2021,2024,2025","2010,2011,2013,2018,2019,2020,2022,2023",1.466937199685963,1.1780925897237005,90,0.4166666666666667,False,False
481,"2011,2012,2013,2014,2017,2023,2024,2025","2010,2015,2016,2018,2019,2020,2021,2022",1.7928065241094764,1.209357821630626,29,0.13425925925925927,False,False
482,"2010,2015,2016,2018,2019,2020,2023,2024","2011,2012,2013,2014,2017,2021,2022,2025",2.122727546911743,1.1547396943094257,8,0.037037037037037035,False,False
483,"2013,2014,2015,2016,2019,2021,2022,2025","2010,2011,2012,2017,2018,2020,2023,2024",1.3885527078939295,1.5881778002961786,19,0.08796296296296297,False,False
