start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,13.0,0.8611927220757207,0.6554017463419424,-0.6992207718398021,22712.960795936786,6,6,0.06537232735315802,0.0014745637748832638
2010-02-12,30.0,13.5,0.8579411801595203,0.6553393574582868,-0.6992207718398022,22080.662304662557,6,6,0.06561808798230523,0.0014745637748832638
2010-02-12,30.0,14.0,0.8579411801595203,0.6553393574582868,-0.6992207718398022,22080.662304662557,6,6,0.06561808798230523,0.0014745637748832638
2010-02-12,30.0,14.5,0.8610611113652435,0.6553330679445281,-0.6992207718398022,22687.041200312324,6,6,0.06905873679036618,0.0014745637748832638
2010-02-12,30.0,15.0,0.8655932476927051,0.6554110939429052,-0.6992207718398021,23595.771781323387,6,6,0.06930449741951339,0.0014745637748832638
2010-02-12,30.0,15.5,0.8655932476927051,0.6554110939429052,-0.6992207718398021,23595.771781323387,6,6,0.06930449741951339,0.0014745637748832638
2010-02-12,30.0,16.0,0.8804918547981424,0.6549606286281456,-0.6992207718398021,26829.54588304739,6,6,0.06955025804866061,0.0014745637748832638
2010-02-12,30.0,16.5,0.8804918547981424,0.6549606286281456,-0.6992207718398021,26829.54588304739,6,6,0.06955025804866061,0.0014745637748832638
2010-02-12,30.0,17.0,0.8956637857807896,0.6558999900420097,-0.6992207718398022,30546.63893216744,6,6,0.07225362496927992,0.0014745637748832638
2010-02-12,30.0,17.5,0.8956637857807896,0.6558999900420097,-0.6992207718398022,30546.63893216744,6,6,0.07225362496927992,0.0014745637748832638
2010-02-12,30.0,18.0,0.8911236184391083,0.6557326800569084,-0.6992207718398022,29386.52341145422,6,6,0.07323666748586877,0.0014745637748832638
2010-02-12,30.0,18.5,0.8910821976847185,0.6554590234484582,-0.6992207718398021,29376.132314287588,6,6,0.08773654460555419,0.0014745637748832638
2010-02-12,30.0,19.0,0.8925770648192699,0.6554506822026539,-0.6992207718398021,29753.335913704752,6,6,0.0879823052347014,0.0014745637748832638
2010-02-12,30.0,19.5,0.8981175561198083,0.655415195026412,-0.6992207718398021,31191.380588627555,6,6,0.08896534775129024,0.0014745637748832638
2010-02-12,30.0,20.0,0.8981175561198083,0.655415195026412,-0.6992207718398021,31191.380588627555,6,6,0.08896534775129024,0.0014745637748832638
2010-02-12,30.0,20.5,0.8968938023077475,0.6554256957937465,-0.6992207718398021,30868.253455538008,6,6,0.09486360285082329,0.0014745637748832638
2010-02-12,30.0,21.0,0.9000350977234384,0.6553716704116193,-0.6992207718398021,31704.08765156009,6,6,0.0970754485131482,0.0014745637748832638
2010-02-12,30.0,21.5,0.8336393710297003,0.6529055404033811,-0.7919146215329637,17851.88075392899,6,6,0.23912509216023592,0.0014745637748832638
2010-02-12,30.0,22.0,0.8273853983168906,0.6529839288513039,-0.7919146215329638,16893.736719423105,6,6,0.25583681494224625,0.0014745637748832638
2010-02-12,30.0,22.5,0.8303280003786473,0.6530262916899525,-0.7919146215329635,17338.38694836165,6,6,0.25608257557139347,0.0014745637748832638
2010-02-12,30.0,23.0,0.8303280003786473,0.6530262916899525,-0.7919146215329635,17338.38694836165,6,6,0.25608257557139347,0.0014745637748832638
2010-02-12,30.0,23.5,0.8216985696851504,0.6527402448221648,-0.7919146215329635,16064.560388457561,6,6,0.2575571393462767,0.0014745637748832638
2010-02-12,30.0,24.0,0.8214001598203418,0.6526988061740425,-0.7919146215329635,16022.122481755267,6,6,0.25780289997542394,0.0014745637748832638
2010-02-12,30.0,24.5,0.8210572083919012,0.6526377716702846,-0.7919146215329638,15973.480053438476,6,6,0.2582944212337184,0.0014745637748832638
2010-02-12,30.0,25.0,0.8221323123992739,0.6526455086281747,-0.7919146215329635,16126.432504462422,6,6,0.25878594249201275,0.0014745637748832638
2010-02-12,30.0,25.5,0.8221323123992739,0.6526455086281747,-0.7919146215329635,16126.432504462422,6,6,0.25878594249201275,0.0014745637748832638
