Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-02-09,74.79087830234812,True,0.0221787834118207,0.09499537749638427,0.09499537749638427,UVIX,above,4.813144296706452
2012-02-10,75.38190230702074,True,-0.0213881743605621,0.1881884523881609,0.1881884523881609,UVIX,above,5.718922473024542
2012-02-13,67.41836400624535,True,0.0269230830198667,-0.1491028461249418,-0.1491028461249418,UVIX,above,4.866214855528693
2012-02-14,70.68863672546846,True,0.0087384194763653,0.0748304776022461,0.0748304776022461,UVIX,above,5.23035603728305
2012-02-15,69.64150027847107,True,-0.0223208019948877,0.08286769127367584,0.08286769127367584,UVIX,above,5.663783566632029
2012-02-16,63.814034475214456,False,0.0418022678447935,-0.07289287851736019,0.0418022678447935,above,above,5.900542564299321
2012-02-17,69.42659794432129,True,-0.0085047270217716,-0.03656020956480171,-0.03656020956480171,UVIX,above,5.684817491602505
2012-02-21,70.48835494102264,True,0.0084771254954354,0.011682451291842042,0.011682451291842042,UVIX,above,5.751230095051163
2012-02-22,70.82357716727424,True,-0.0132095386584096,-0.0494821415760645,-0.0494821415760645,UVIX,above,5.466646913251319
2012-02-23,67.0173201269391,True,0.0189624862597739,-0.13949549357229235,-0.13949549357229235,UVIX,above,4.704074303901878
2012-02-24,69.28350190575355,True,0.0097547633370089,0.08194428441977082,0.08194428441977082,UVIX,above,5.089546306592549
2012-02-27,70.15172365749189,True,0.0048295532574444,0.008501209319982059,0.008501209319982059,UVIX,above,5.132813605088634
2012-02-28,70.87116005041514,True,0.0299157423507263,-0.0090339305194898,-0.0090339305194898,UVIX,above,5.086444123610772
2012-02-29,72.63366167366146,True,-0.0131419859567902,-0.0342200999464704,-0.0342200999464704,UVIX,above,4.912385497328674
2012-03-01,66.49760478474724,True,0.0243197498333345,-0.03707319744670206,-0.03707319744670206,UVIX,above,4.730267659851893
2012-03-02,70.02586699046267,True,-0.00301571969922,0.01997245257721709,0.01997245257721709,UVIX,above,4.824742706365829
2012-03-05,66.05301899889722,True,-0.0311857917796906,-0.018128319851783918,-0.018128319851783918,UVIX,above,4.737278227382268
2012-03-06,61.58176746160532,False,-0.0286764618870181,0.15326703670510827,-0.0286764618870181,above,above,4.601429848846539
2012-03-07,47.7960081135285,False,0.0226957624556916,-0.09624675479478077,0.0226957624556916,above,above,4.7058628076524895
2012-03-08,52.82371332814327,False,0.031716322188475,-0.0830892564858448,0.031716322188475,above,above,4.855115468634758
2012-03-09,58.926532823272254,False,0.01208603998362,-0.03388190447986599,0.01208603998362,above,above,4.9137945883137695
