Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2012-04-24,GSPC,1371.969970703125,1282.8145637512207,False,,False,above,above,-0.02242279335898567,602.0037711351997,-0.020803839285847503,0.7538186618982989
2012-04-25,GSPC,1390.68994140625,1284.2236259460449,False,,False,above,above,-0.020803839285847503,589.4797814310289,0.09442545371445976,0.8249983310664728
2012-04-26,GSPC,1399.97998046875,1285.482125854492,False,,False,above,above,0.09442545371445976,645.1416772481543,0.022565235832127994,0.8436146129680998
2012-04-27,GSPC,1403.3599853515625,1286.8412506103516,False,,False,above,above,0.022565235832127994,659.6994513403936,0.00032442126369103264,0.8438882994869071
2012-04-30,GSPC,1397.9100341796875,1288.3642509460449,False,,False,above,above,0.00032442126369103264,659.9134718700537,-0.028710518369829185,0.8196598289624044
2012-05-01,GSPC,1405.8199462890625,1289.8864379882812,False,,False,above,above,-0.028710518369829185,640.9670140134308,0.00801602592197792,0.826230243398571
2012-05-02,GSPC,1402.31005859375,1291.3204383850098,False,,False,above,above,0.00801602592197792,646.1050222128953,0.006627030507587506,0.8317056964278647
2012-05-03,GSPC,1391.5699462890625,1292.588500213623,False,,False,above,above,0.006627030507587506,650.3867799062057,-0.028637505715298106,0.8078877197929658
2012-05-04,GSPC,1369.0999755859375,1293.5884376525878,False,,False,above,above,-0.028637505715298106,631.7613247794874,-0.06946778860804814,0.75176554645535
2012-05-07,GSPC,1369.5799560546875,1294.5482498168944,False,,False,above,above,-0.06946778860804814,587.8742626189655,-0.010560938191620184,0.7438261969846455
2012-05-08,GSPC,1363.719970703125,1295.545937347412,False,,False,above,above,-0.010560938191620184,581.6657588670023,-0.015458094361807895,0.7323280614428721
2012-05-09,GSPC,1354.5799560546875,1296.498999786377,False,,False,above,above,-0.015458094361807895,572.6743146794036,0.0024299228652389093,0.7341075621442282
2012-05-10,GSPC,1357.989990234375,1297.6941871643066,False,,False,above,above,0.0024299228652389093,574.065869090978,-0.02983421795076746,0.7122060371359108
2012-05-11,GSPC,1353.3900146484375,1299.0931243896484,False,,False,above,above,-0.02983421795076746,556.9390628344211,-0.0021139933844988024,0.7107004382850054
2012-05-14,GSPC,1338.3499755859375,1300.3551239013673,False,,False,above,above,-0.0021139933844988024,555.7616973400202,-0.028120451120575263,0.6907152213488404
2012-05-15,GSPC,1330.6600341796875,1301.403311920166,False,,False,above,above,-0.028120451120575263,540.1334276952822,-0.0108994628829987,0.6831867964310265
