Date,signal_price,signal_sma,signal_below_sma,trigger_reference_tqqq_close,target_regime_at_close,close_position,strategy_return
2023-02-27,3982.239990234375,3942.937451171875,False,,above,above,0.0215891591536372
2023-02-28,3970.14990234375,3943.6607009887693,False,,above,above,-0.0049459733984542
2023-03-01,3951.389892578125,3944.489387512207,False,,above,above,-0.0244013273971636
2023-03-02,3981.35009765625,3945.611700439453,False,,above,above,0.0240852193561436
2023-03-03,4045.639892578125,3947.2070755004884,False,,above,above,0.0610584144987755
2023-03-06,4048.419921875,3948.3649505615235,False,,above,above,0.0042627297373625
2023-03-07,3986.3701171875,3949.336950683594,False,,above,above,-0.0373514139187937
2023-03-08,3992.010009765625,3949.68270111084,False,,above,above,0.0136682420533196
2023-03-09,3918.320068359375,3949.4228271484376,True,10.45534074636354,wait_mix,above,-0.0526315243705111
2023-03-10,3861.590087890625,3948.56432800293,True,10.45534074636354,wait_mix,wait_mix,0.061903693977958654
2023-03-13,3855.760009765625,3947.9026412963867,True,10.45534074636354,wait_mix,wait_mix,0.01430205388430765
2023-03-14,3919.2900390625,3947.605453491211,True,10.45534074636354,wait_mix,wait_mix,-0.027079934439609748
2023-03-15,3891.929931640625,3947.423452758789,True,10.45534074636354,wait_mix,wait_mix,0.032861902097653654
2023-03-16,3960.280029296875,3947.027639770508,False,,above,wait_mix,-0.0107218205376499
2023-03-17,3916.639892578125,3946.0539520263674,True,11.794661219728,wait_mix,above,-0.0148356984925968
2023-03-20,3951.570068359375,3944.9369522094726,False,,above,wait_mix,-0.01188434079823675
2023-03-21,4002.8701171875,3944.2134536743165,False,,above,above,0.0422875759993022
2023-03-22,3936.969970703125,3943.249578857422,True,11.916536055433754,wait_mix,above,-0.0408083979427342
2023-03-23,3948.719970703125,3941.9592666625977,False,,above,wait_mix,0.0051505919725435495
2023-03-24,3970.989990234375,3940.8283294677735,False,,above,above,0.010172143733101
2023-03-27,3977.530029296875,3939.78045501709,False,,above,above,-0.020526572937052
2023-03-28,3971.27001953125,3938.725517272949,False,,above,above,-0.0166073998034399
2023-03-29,4027.81005859375,3938.1338912963865,False,,above,above,0.0546841315554584
2023-03-30,4050.830078125,3937.1375778198244,False,,above,above,0.0270683750714506
2023-03-31,4109.31005859375,3936.525328063965,False,,above,above,0.0489976296258716
2023-04-03,4124.509765625,3935.5525772094725,False,,above,above,-0.0070769855705172
2023-04-04,4100.60009765625,3934.324201965332,False,,above,above,-0.0099786924044344
2023-04-05,4090.3798828125,3932.981575012207,False,,above,above,-0.032037467435796
2023-04-06,4105.02001953125,3931.925199890137,False,,above,above,0.0200818213021996
2023-04-10,4109.10986328125,3930.833760070801,False,,above,above,-0.002187402769198
2023-04-11,4108.93994140625,3930.08663482666,False,,above,above,-0.0193642712428264
2023-04-12,4091.949951171875,3929.7988830566405,False,,above,above,-0.0264531104155806
2023-04-13,4146.22021484375,3929.9081970214843,False,,above,above,0.0574052703511398
2023-04-14,4137.64013671875,3929.888635253906,False,,above,above,-0.0057907088310561
2023-04-17,4151.31982421875,3929.5898834228515,False,,above,above,0.0010922525993217
2023-04-18,4154.8701171875,3930.19744720459,False,,above,above,0.0007271345139956
2023-04-19,4154.52001953125,3930.9718841552735,False,,above,above,-0.0021801773740119
2023-04-20,4129.7900390625,3931.8695724487307,False,,above,above,-0.0233068038429123
2023-04-21,4133.52001953125,3932.9853225708007,False,,above,above,0.0018645157351562
2023-04-24,4137.0400390625,3934.04900970459,False,,above,above,-0.0059547143565223
2023-04-25,4071.6298828125,3934.9700714111327,False,,above,above,-0.0565331205627083
2023-04-26,4055.989990234375,3935.8938217163086,False,,above,above,0.0166667149998396
2023-04-27,4135.35009765625,3936.865571594238,False,,above,above,0.0807962466082834
2023-04-28,4169.47998046875,3937.8861968994142,False,,above,above,0.0202239178004157
2023-05-01,4167.8701171875,3938.514384460449,False,,above,above,-0.0028318098742021
2023-05-02,4119.580078125,3938.571696472168,False,,above,above,-0.0266241276691577
2023-05-03,4090.75,3939.559571838379,False,,above,above,-0.0196937311855863
2023-05-04,4061.219970703125,3940.279634094238,False,,above,above,-0.0111606526154289
2023-05-05,4136.25,3941.7477584838866,False,,above,above,0.0613243229425819
2023-05-08,4138.1201171875,3943.4026962280273,False,,above,above,0.008153058806108
2023-05-09,4119.169921875,3944.7731964111326,False,,above,above,-0.0193388986032562
2023-05-10,4137.64013671875,3946.533885192871,False,,above,above,0.032269591943685
2023-05-11,4130.6201171875,3948.663198852539,False,,above,above,0.0083362227335861
2023-05-12,4124.080078125,3950.9512619018556,False,,above,above,-0.0103340797727438
2023-05-15,4136.27978515625,3953.7203231811523,False,,above,above,0.0153150488086359
2023-05-16,4109.89990234375,3956.56319732666,False,,above,above,0.0037709582318232
2023-05-17,4158.77001953125,3959.75994720459,False,,above,above,0.0358606568435504
2023-05-18,4198.0498046875,3962.7537582397463,False,,above,above,0.053742054470957
2023-05-19,4191.97998046875,3966.2006958007814,False,,above,above,-0.0068835336560447
2023-05-22,4192.6298828125,3969.9945068359375,False,,above,above,0.0103969299009822
2023-05-23,4145.580078125,3972.9141952514647,False,,above,above,-0.038665406739469
2023-05-24,4115.240234375,3974.9411346435545,False,,above,above,-0.0162179009565567
2023-05-25,4151.27978515625,3977.241133117676,False,,above,above,0.0722058264922884
2023-05-26,4205.4501953125,3980.1219467163087,False,,above,above,0.0756456534756397
2023-05-30,4205.52001953125,3983.658572387695,False,,above,above,0.0140081670265337
2023-05-31,4179.830078125,3987.205073547363,False,,above,above,-0.0202991057964861
2023-06-01,4221.02001953125,3991.156198120117,False,,above,above,0.036259157350406
2023-06-02,4282.3701171875,3995.5645736694337,False,,above,above,0.0224935368159877
2023-06-05,4273.7900390625,3999.3388244628904,False,,above,above,0.0021729635654712
2023-06-06,4283.85009765625,4003.718699645996,False,,above,above,-0.0010841260164016
2023-06-07,4267.52001953125,4007.403512573242,False,,above,above,-0.0510037575669501
2023-06-08,4293.93017578125,4010.990701293945,False,,above,above,0.0343053510285575
2023-06-09,4298.85986328125,4014.7638259887694,False,,above,above,0.0121611792161022
2023-06-12,4338.93017578125,4018.971014404297,False,,above,above,0.0510651187380404
2023-06-13,4369.009765625,4022.822637939453,False,,above,above,0.0223434314117196
2023-06-14,4372.58984375,4026.417948913574,False,,above,above,0.0213468500737248
2023-06-15,4425.83984375,4029.960009765625,False,,above,above,0.0350834773275461
2023-06-16,4409.58984375,4033.578695678711,False,,above,above,-0.0192308203620562
2023-06-20,4388.7099609375,4037.2125076293946,False,,above,above,-0.004901901458313
2023-06-21,4365.68994140625,4040.116444396973,False,,above,above,-0.0400772070942726
2023-06-22,4381.89013671875,4043.303382873535,False,,above,above,0.0332046544939714
2023-06-23,4348.330078125,4046.379820251465,False,,above,above,-0.0296459508510325
2023-06-26,4328.81982421875,4049.936882019043,False,,above,above,-0.039538062928811
2023-06-27,4378.41015625,4054.0526336669923,False,,above,above,0.0494519022241692
2023-06-28,4376.85986328125,4057.8420700073243,False,,above,above,0.0061132243901094
2023-06-29,4396.43994140625,4061.5273193359376,False,,above,above,-0.0068354279454816
2023-06-30,4450.3798828125,4065.416505432129,False,,above,above,0.0451185095009158
2023-07-03,4455.58984375,4069.8353790283204,False,,above,above,0.0068293030559176
2023-07-05,4446.81982421875,4072.9006896972655,False,,above,above,-0.0007267001640656
2023-07-06,4411.58984375,4075.517314147949,False,,above,above,-0.0235152216362453
2023-07-07,4398.9501953125,4078.2779403686523,False,,above,above,-0.0101786538618331
2023-07-10,4409.52978515625,4080.8891891479493,False,,above,above,0.0007523998176384
2023-07-11,4439.259765625,4083.892124938965,False,,above,above,0.0142857368438402
2023-07-12,4472.16015625,4087.1771255493163,False,,above,above,0.037064386042839
2023-07-13,4510.0400390625,4090.5815002441404,False,,above,above,0.0497974944613208
2023-07-14,4505.419921875,4094.0532501220705,False,,above,above,-0.0009079469263507
2023-07-17,4522.7900390625,4097.2983123779295,False,,above,above,0.0277148189419975
2023-07-18,4554.97998046875,4100.596562194824,False,,above,above,0.0238724513954653
2023-07-19,4565.72021484375,4103.969062805176,False,,above,above,0.0
2023-07-20,4534.8701171875,4107.537376403809,False,,above,above,-0.0701638932297489
2023-07-21,4536.33984375,4111.154313659668,False,,above,above,-0.008822799870282
2023-07-24,4554.64013671875,4114.120126342774,False,,above,above,0.0039821711341987
2023-07-25,4567.4599609375,4117.188188171387,False,,above,above,0.0200654303717244
2023-07-26,4566.75,4120.282250976563,False,,above,above,-0.0102930483464336
2023-07-27,4537.41015625,4123.648313903808,False,,above,above,-0.0085506853207107
2023-07-28,4582.22998046875,4127.654376220703,False,,above,above,0.054079154971439
2023-07-31,4588.9599609375,4131.748376464844,False,,above,above,0.0019903233848803
2023-08-01,4576.72998046875,4135.581001281738,False,,above,above,-0.0077245592611496
2023-08-02,4513.39013671875,4139.199815368653,False,,above,above,-0.0653915227761509
2023-08-03,4501.89013671875,4142.395628356933,False,,above,above,-0.0071394935303171
2023-08-04,4478.02978515625,4145.260502624512,False,,above,above,-0.0139023704215488
2023-08-07,4518.43994140625,4148.5300018310545,False,,above,above,0.0247936146703002
2023-08-08,4499.3798828125,4152.302688598633,False,,above,above,-0.0256166406917381
2023-08-09,4467.7099609375,4156.148625183106,False,,above,above,-0.0333496801350126
2023-08-10,4468.830078125,4160.2184387207035,False,,above,above,0.0045328864077169
2023-08-11,4464.0498046875,4164.233624267578,False,,above,above,-0.0200552536255133
2023-08-14,4489.72021484375,4168.054125976562,False,,above,above,0.0332565584222352
2023-08-15,4437.85986328125,4171.900813293457,False,,above,above,-0.0307005361321019
2023-08-16,4404.330078125,4175.397750854492,False,,above,above,-0.0332056874951468
2023-08-17,4370.35986328125,4178.7796875,False,,above,above,-0.0338177715716194
2023-08-18,4369.7099609375,4182.4452499389645,False,,above,above,-0.0046484818458855
2023-08-21,4399.77001953125,4185.88581237793,False,,above,above,0.0483514614712476
2023-08-22,4387.5498046875,4189.311123657227,False,,above,above,-0.0044546920902669
2023-08-23,4436.009765625,4193.135310363769,False,,above,above,0.0471176402786541
2023-08-24,4376.31005859375,4196.406185913086,False,,above,above,-0.0658622778675283
2023-08-25,4405.7099609375,4200.141247558594,False,,above,above,0.0236811803744811
2023-08-28,4433.31005859375,4203.505184936524,False,,above,above,0.0223451733487698
2023-08-29,4497.6298828125,4207.289808654785,False,,above,above,0.0637694199289473
2023-08-30,4514.8701171875,4211.012434387207,False,,above,above,0.0166788868342677
