Date,gspc_open_implied_rsi14,GSPC_OPEN,GSPC_SMA200_PREV_CLOSE,TQQQ_OPEN,base_target_regime_at_open,tqqq_running_drawdown_pct,selected_leg,action,strategy_return,strategy_equity
2017-07-11,51.08518409913804,2427.35009765625,2300.948138427734,3.955206026274975,above,10.85753104482734,TQQQ,,0.008197264393764447,181.32221233963918
2017-07-12,54.49396680234245,2435.75,2302.1898889160157,4.105726083799654,above,7.4651086360100205,TQQQ,,0.035597605126904686,187.7768488552424
2017-07-13,57.75769798117463,2444.989990234375,2303.5826892089844,4.164106843706576,above,6.149322544714164,TQQQ,,0.006606568217288666,189.01740941683207
2017-07-14,59.194141495178535,2449.159912109375,2305.091339111328,4.22447325224166,above,4.78878388679701,TQQQ,,0.02349463527302853,193.45830451133324
2017-07-17,62.52165205270463,2459.5,2306.588039550781,4.287223273029887,above,3.3745233545033004,TQQQ,,0.0005575885661426305,193.5661746499541
2017-07-18,60.57488359748396,2455.8798828125,2308.0268884277343,4.266969564299779,above,3.8310016238290445,TQQQ,,0.019877655378138126,197.41381636251037
2017-07-19,64.01055390859216,2463.85009765625,2309.574289550781,4.398425476783516,above,0.8682470872235837,TQQQ,,0.018306096167310715,201.0276926695983
2017-07-20,67.62076156138727,2475.56005859375,2311.10208984375,4.47308861723909,above,0.0,TQQQ,,0.003756046608996977,201.78276205296444
2017-07-21,63.07086526770638,2467.39990234375,2312.66333984375,4.4019998241031475,above,1.589255192977157,TQQQ,,-0.0015143201408643892,201.4771983523084
2017-07-24,65.91648727188542,2472.0400390625,2314.2735900878906,4.449260160120425,above,0.5327070209794393,TQQQ,,0.013028439966511263,204.10213193566233
2017-07-25,67.35956597966707,2477.8798828125,2315.8244897460936,4.4667353511730195,above,0.142033091890581,TQQQ,,-0.006694855308458925,202.73569769420507
2017-07-26,68.11159315925997,2479.969970703125,2317.4062890625,4.5068455415463315,above,0.0,TQQQ,,0.008956965994940447,204.5515944444126
2017-07-27,69.16202106159395,2482.760009765625,2319.026739501953,4.609310895667611,above,0.0,TQQQ,,-0.017843022140966336,200.90177581577097
2017-07-28,60.744133980738816,2469.1201171875,2320.585539550781,4.3595042008973275,above,5.419610445567513,TQQQ,,-0.003221793351784741,200.25451181008597
2017-07-31,64.64259065969497,2475.93994140625,2322.2623901367188,4.459585750356578,above,3.2483195145669663,TQQQ,,-0.013018299525452748,197.64753859401895
2017-08-01,64.72069468131176,2477.10009765625,2323.917990722656,4.4095452523578595,above,4.333958976330177,TQQQ,,0.0065496793968635725,198.942066605389
2017-08-02,66.22058253590131,2480.3798828125,2325.636990966797,4.477457413786739,above,2.8605898986940437,TQQQ,,0.0073202257505449175,200.39836744422038
2017-08-03,63.570335920371306,2476.030029296875,2327.35994140625,4.443302499294164,above,3.6015881794712823,TQQQ,,-0.010407508193747361,198.31271979303108
2017-08-04,62.8161896101808,2476.8798828125,2329.088240966797,4.406368472564786,above,4.402879903231849,TQQQ,,0.0038986872518282922,199.08587906556357
2017-08-07,62.95652278055415,2477.139892578125,2330.7743908691405,4.4234448150905585,above,4.0324049469466665,TQQQ,,0.017700735744263785,202.60984560131757
2017-08-08,62.512606355052775,2478.35009765625,2332.457490234375,4.455614352503391,above,3.3344798526973474,TQQQ,,-0.0037269292372483775,201.85473304399164
2017-08-09,52.36812679873795,2465.35009765625,2334.125389404297,4.34957561664828,above,5.6350132351337345,TQQQ,,-0.003919252364753545,201.0636134041723
2017-08-10,51.94854148286604,2465.3798828125,2335.7896899414063,4.366653777742412,above,5.264498824613407,TQQQ,,-0.0649199628735525,188.0105710867511
2017-08-11,39.76083698498511,2441.0400390625,2337.2240893554685,4.173241194957182,above,9.460626774390512,TQQQ,,0.02285553737477808,192.3076537210777
2017-08-14,47.85916320131838,2454.9599609375,2338.7148901367186,4.346795350070308,above,5.695331721799168,TQQQ,,0.038892846406724635,199.78704576008917
2017-08-15,54.04474438547691,2468.659912109375,2340.346940917969,4.437743139901278,above,3.7221996877579433,TQQQ,,0.0018001121342361426,200.14668484542509
2017-08-16,54.070535084197346,2468.6298828125,2342.0047912597656,4.452039911053671,above,3.412028135523737,TQQQ,,0.005210082057767851,201.18946549705996
2017-08-17,51.0875215850156,2462.949951171875,2343.713292236328,4.390084089248648,above,4.756173132626362,TQQQ,,-0.0614836246351238,188.81960791989752
2017-08-18,37.79973552666864,2427.639892578125,2345.2325927734373,4.177213443161297,above,9.374447987712253,TQQQ,,-0.003522839636941888,188.15442672088548
2017-08-21,37.17086293072949,2425.5,2346.8017431640624,4.1633130918423475,above,9.676019125645574,TQQQ,,-0.0018157188754106546,187.8127911767963
2017-08-22,41.40641292788386,2433.75,2348.453894042969,4.209779565993014,above,8.667918886749959,TQQQ,,0.04451465418185929,196.17321262696115
2017-08-23,46.60371201374803,2444.8798828125,2350.27314453125,4.262202303799896,above,7.530596215455332,TQQQ,,-0.011181425707705528,193.97971642413086
2017-08-24,47.90797789161091,2447.909912109375,2352.0674450683596,4.316214345876807,above,6.35879324317854,TQQQ,,-0.0083417919000075,192.3615779968983
2017-08-25,47.02425965990542,2444.719970703125,2353.6046948242188,4.292385749145181,above,6.875759819549487,TQQQ,,-0.00672954774997192,191.0670715725082
2017-08-28,48.22103718515224,2447.35009765625,2355.1221447753906,4.257437675965956,above,7.633965850131497,TQQQ,,0.008751407886514517,192.7391774495211
2017-08-29,42.154691011954554,2431.93994140625,2356.5270446777345,4.146633974292276,above,10.03787619989389,TQQQ,,0.012313613541905966,195.11249319501934
2017-08-30,47.7289518174442,2446.06005859375,2357.921145019531,4.317405983798369,above,6.33294039991118,TQQQ,,0.034647484287654295,201.87265023731882
2017-08-31,55.060311729440514,2462.64990234375,2359.386845703125,4.495328679783869,above,2.472868905216963,TQQQ,,0.02841120224115845,207.60809493016993
2017-09-01,59.39426826665843,2474.419921875,2360.9240954589845,4.620828944364389,above,0.0,TQQQ,,-0.000692607257163913,207.46430405697532
2017-09-05,56.89744588530525,2470.35009765625,2362.4048962402344,4.539013684268184,above,1.7705753898548338,TQQQ,,-0.026779224071032948,201.90857097189266
2017-09-06,53.66751594481595,2463.830078125,2363.809447021484,4.496123619683415,above,2.698765225513622,TQQQ,,0.008637953602686377,203.65264783993257
2017-09-07,55.25529410392106,2468.06005859375,2365.2015466308594,4.524718199037358,above,2.079945968228236,TQQQ,,0.006179954526422948,204.91121194276897
2017-09-08,52.71792528443566,2462.25,2366.617547607422,4.5092288758726005,above,2.4151525588909095,TQQQ,,-0.024655638560390436,199.8589951641365
2017-09-11,57.62030120765786,2474.52001953125,2367.933797607422,4.514391468814667,above,2.3034281690849867,TQQQ,,0.03184586995988048,206.22367873444597
2017-09-12,63.14952324004141,2491.93994140625,2369.3596484375,4.598986130958634,above,0.4727033540679826,TQQQ,,0.008457104886126166,207.96773401550595
2017-09-13,63.0832451958225,2493.889892578125,2370.818448486328,4.567213609246755,above,1.1602969026374255,TQQQ,,0.004149495175547413,208.8306951244728
2017-09-14,62.88156176434423,2494.56005859375,2372.243548583984,4.562050693047665,above,1.2720282880934297,TQQQ,,-0.01687454691320034,205.30677176267866
2017-09-15,63.46738753410907,2495.669921875,2373.7130493164063,4.5302781779546395,above,1.9596216934233412,TQQQ,,0.00805652510925614,206.960830924485
2017-09-18,65.68008528441808,2502.510009765625,2375.1908996582033,4.591439937812033,above,0.6360115664571286,TQQQ,,-0.002432176153054244,206.45746572689418
2017-09-19,66.90064930000835,2506.2900390625,2376.716199951172,4.58190747689864,above,0.8423048750423434,TQQQ,,0.00426694699623531,207.33840879012791
2017-09-20,67.08015817298426,2506.840087890625,2378.294049072266,4.577539561357839,above,0.9368315410018813,TQQQ,,-0.008324492258550031,205.61242181125442
2017-09-21,66.75832712686613,2507.159912109375,2379.875499267578,4.528292549147878,above,2.002592961796812,TQQQ,,-0.019237603591033214,201.65693154705718
2017-09-22,60.131141647653145,2497.260009765625,2381.354949951172,4.41033907343799,above,4.555240487382983,TQQQ,,-0.0024963603665325573,201.15352317550654
2017-09-25,60.98400868424494,2499.389892578125,2382.8048999023435,4.38889298761305,above,5.019358204856516,TQQQ,,-0.03137284992509315,194.84276388101762
2017-09-26,61.16518225600832,2501.0400390625,2384.0814489746094,4.366255606359098,above,5.509256911917748,TQQQ,,0.006828320022991496,196.17321262696137
2017-09-27,62.319707799929816,2503.300048828125,2385.334699707031,4.402396496874031,above,4.727126888277489,TQQQ,,0.027128481307051144,201.49509395865607
2017-09-28,61.22429081883066,2503.409912109375,2386.5722497558595,4.418679165913845,above,4.374751389511777,TQQQ,,-0.0016951816366286288,201.1535231755066
2017-09-29,65.0684689145755,2509.9599609375,2387.837750244141,4.470309029182571,above,3.2574223585011386,TQQQ,,0.021183415823521123,205.41464190129963
