episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
30,31,2014-06-19,2014-06-23,3,2014-06-24,4,69.4,65.4,0.9313691935650499,0.9313691935650499,0.043796038417296845,5107,True,0.0,0.0,93.13691935650499,93.13691935650499,4.3796038417296845
31,32,2014-07-01,2014-07-07,4,2014-07-08,5,69.4,65.4,0.9289849945095403,0.9289849945095403,0.07304896730854704,5106,True,0.0,0.0,92.89849945095403,92.89849945095403,7.304896730854704
32,33,2014-11-18,2014-11-28,8,2014-12-01,9,69.4,65.4,0.9305865363536041,0.9305865363536041,0.06623127559401998,5102,True,0.0,0.0,93.05865363536041,93.05865363536041,6.623127559401998
33,34,2015-11-03,2015-11-06,4,2015-11-09,5,69.4,65.8,0.937136005479491,0.9325208547606536,0.03396166603831796,5106,False,0.0,0.3999999999999915,93.7136005479491,93.25208547606536,3.396166603831796
34,35,2016-03-21,2016-03-22,2,2016-03-23,3,69.4,65.4,0.9314860176281134,0.9314860176281134,0.03979756535432255,5108,True,0.0,0.0,93.14860176281134,93.14860176281134,3.979756535432255
35,36,2016-03-30,2016-04-04,4,2016-04-05,5,69.4,65.4,0.9275749859984876,0.9275749859984876,0.0890656548155726,5106,True,0.0,0.0,92.75749859984876,92.75749859984876,8.90656548155726
36,37,2016-11-25,2016-11-25,1,2016-11-28,2,69.4,65.4,0.9311724357421265,0.9311724357421265,0.04050436193226559,5109,True,0.0,0.0,93.11724357421265,93.11724357421265,4.050436193226559
37,38,2016-12-07,2016-12-21,11,2016-12-22,12,69.4,65.4,0.9483806841455464,0.9483806841455464,-0.10745782629944023,5099,True,0.0,0.0,94.83806841455464,94.83806841455464,-10.745782629944022
38,39,2017-02-13,2017-03-06,15,2017-03-07,16,69.4,65.4,0.9431005068446721,0.9431005068446721,-0.04708322185265723,5095,True,0.0,0.0,94.3100506844672,94.3100506844672,-4.7083221852657235
39,40,2017-06-02,2017-06-05,2,2017-06-06,3,69.4,65.4,0.9263409324022651,0.9263409324022651,0.09756360230561123,5108,True,0.0,0.0,92.6340932402265,92.6340932402265,9.756360230561123
40,41,2017-10-02,2017-10-24,17,2017-10-25,18,69.4,65.4,0.9460260996567991,0.9460260996567991,-0.07073562782036902,5093,True,0.0,0.0,94.6026099656799,94.6026099656799,-7.073562782036902
41,42,2017-10-27,2017-10-27,1,2017-10-30,2,69.4,65.4,0.9259015809637146,0.9259015809637146,0.09978601588920144,5109,True,0.0,0.0,92.59015809637145,92.59015809637145,9.978601588920144
42,43,2017-11-03,2017-11-08,4,2017-11-09,5,69.4,65.4,0.9298235549408711,0.9298235549408711,0.06364090693970503,5106,True,0.0,0.0,92.98235549408712,92.98235549408712,6.364090693970503
43,44,2017-11-28,2017-12-04,5,2017-12-05,6,69.4,65.4,0.9264624489267403,0.9264624489267403,0.10475101366995854,5105,True,0.0,0.0,92.64624489267403,92.64624489267403,10.475101366995855
44,45,2017-12-08,2017-12-28,14,2017-12-29,15,69.4,65.4,0.9540790859524408,0.9540790859524408,-0.1519353302130213,5096,True,0.0,0.0,95.40790859524408,95.40790859524408,-15.19353302130213
45,46,2018-01-03,2018-01-29,18,2018-01-30,19,69.4,65.4,0.9098667751361611,0.9098667751361611,0.3610662898744388,5092,True,0.0,0.0,90.98667751361612,90.98667751361612,36.10662898744388
46,47,2018-07-25,2018-07-26,2,2018-07-27,3,69.4,65.4,0.9247812767610497,0.9247812767610497,0.11573220371388948,5108,True,0.0,0.0,92.47812767610498,92.47812767610498,11.573220371388949
47,48,2018-08-29,2018-08-31,3,2018-09-04,4,69.4,65.4,0.9285438667494936,0.9285438667494936,0.07522719986434301,5107,True,0.0,0.0,92.85438667494937,92.85438667494937,7.522719986434301
48,49,2019-02-19,2019-03-01,9,2019-03-04,10,69.4,65.4,0.9456009486225325,0.9456009486225325,-0.08613770409721921,5101,True,0.0,0.0,94.56009486225325,94.56009486225325,-8.613770409721921
49,50,2019-03-21,2019-03-21,1,2019-03-22,2,69.4,65.4,0.9160729115748893,0.9160729115748893,0.2199942550561247,5109,True,0.0,0.0,91.60729115748893,91.60729115748893,21.999425505612468
50,51,2019-04-05,2019-04-08,2,2019-04-09,3,69.4,65.4,0.9282030310809912,0.9282030310809912,0.07627760483142465,5108,True,0.0,0.0,92.82030310809913,92.82030310809913,7.627760483142465
51,52,2019-04-23,2019-04-30,6,2019-05-01,7,69.4,65.4,0.9228428980903696,0.9228428980903696,0.15063279609829472,5104,True,0.0,0.0,92.28428980903696,92.28428980903696,15.063279609829472
52,53,2019-07-03,2019-07-05,2,2019-07-08,3,69.4,65.4,0.9300237800307272,0.9300237800307272,0.0558828107894942,5108,True,0.0,0.0,93.00237800307272,93.00237800307272,5.58828107894942
53,54,2019-07-12,2019-07-16,3,2019-07-17,4,69.4,65.4,0.9300975663083566,0.9300975663083566,0.05782159538081344,5107,True,0.0,0.0,93.00975663083565,93.00975663083565,5.782159538081344
54,55,2019-11-08,2019-11-20,9,2019-11-21,10,69.4,65.4,0.9444509006661463,0.9444509006661463,-0.0751342847655817,5101,True,0.0,0.0,94.44509006661464,94.44509006661464,-7.51342847655817
55,56,2019-11-25,2019-11-29,4,2019-12-02,5,69.4,65.4,0.9230536613761451,0.9230536613761451,0.14213844148730748,5106,True,0.0,0.0,92.30536613761451,92.30536613761451,14.213844148730747
56,57,2019-12-16,2020-01-06,14,2020-01-07,15,69.4,65.4,0.9381145116916061,0.9381145116916061,0.0010937448868413302,5096,True,0.0,0.0,93.8114511691606,93.8114511691606,0.10937448868413302
