method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,post_2010_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,tecl_share,tqqq_share,defensive_share,asset_switches,tecl_entries,total_turnover
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.20,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.2}",1,0.4068949967401818,0.4247099201494797,0.41429049241140037,0.4467611780340794,-0.5968168311967388,-0.3707790080622211,0.43542706247564467,-0.07129995128262956,30957590.88266265,0.07201889020070838,0.5928112291748655,0.3351698806244261,93,21,99.7472193133465
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.30,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.3}",0,0.397179064369223,0.41679944097093813,0.397255585096717,0.4436289735919521,-0.5316945096658929,-0.2310135761888068,0.4018581838714079,-0.07497850818989038,25096173.351030555,0.11334120425029516,0.5516200970746425,0.3350386986750623,93,21,99.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.30,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.3}",1,0.39754821607204294,0.4245866121778077,0.40710425610909384,0.4461348914188681,-0.5968168311967397,-0.3707790080622211,0.4122879862905706,-0.07129995128262956,25297793.195800953,0.11334120425029516,0.5514889151252788,0.3351698806244261,93,21,99.7472193133465
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.10,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.1}",0,0.41061747210397526,0.41062125233662905,0.3909989884364402,0.44452591474808983,-0.530567316446839,-0.2310135761888068,0.37184963063129306,-0.07497850818989038,33537180.394240532,0.04329004329004329,0.6216712580348944,0.3350386986750623,94,20,100.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.10,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.1}",1,0.4087908028187903,0.4179240406769451,0.3995652436443182,0.44664793109031614,-0.5920100806160141,-0.3707790080622211,0.36017166954862545,-0.07129995128262956,32246391.18578354,0.04329004329004329,0.6215400760855306,0.3351698806244261,94,20,100.74721931334653
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.20,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.2}",0,0.4064702974286114,0.4104625531706798,0.3886954114301351,0.44333688473190097,-0.5333220811190401,-0.2310135761888068,0.38275331480126296,-0.07497850818989038,30675778.59541001,0.0755608028335301,0.5894004984914076,0.3350386986750623,91,20,97.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.20,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.2}",1,0.4060420264691751,0.4220277629294187,0.40336652171727105,0.4453197929538235,-0.594232451770374,-0.3707790080622211,0.37613717940288827,-0.07129995128262956,30394109.082416166,0.0755608028335301,0.5892693165420438,0.3351698806244261,91,20,97.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.30,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.3}",0,0.4114182453441617,0.4229782077822992,0.40518156612937495,0.44330644589799917,-0.5333220811190404,-0.2310135761888068,0.40628355560289164,-0.07497850818989038,34118658.34526009,0.12055621146530238,0.5444050898596353,0.3350386986750623,91,20,97.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_10_target_0.30,"{""confirmation_days"": 10, ""profit_target_from_confirmation_close"": 0.3}",1,0.40632282637252404,0.43084296796221455,0.4166124806609872,0.4454153879435399,-0.5942324517703739,-0.3707790080622211,0.40782171704549786,-0.07129995128262956,30578504.611778192,0.12055621146530238,0.5442739079102715,0.3351698806244261,91,20,97.74721931334653
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.10,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.1}",0,0.4008559007584358,0.40980367552869934,0.3970078891391826,0.44264781664600866,-0.52729868143422,-0.2310135761888068,0.45583091847875745,-0.045365094963433994,27175636.86006465,0.044208316935589666,0.620752984389348,0.3350386986750623,71,24,77.76353659186469
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.10,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.1}",1,0.4019085687033954,0.4144428403351921,0.40266906669971836,0.44590210540527975,-0.5940318925030557,-0.37620087859235984,0.45974190661166947,-0.04709547625795829,27801034.339557003,0.0440771349862259,0.620752984389348,0.3351698806244261,71,24,77.74721931334652
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.20,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.2}",0,0.39443307436996133,0.4099071358577058,0.3971238029401851,0.44198340786125306,-0.5272986814342193,-0.2310135761888068,0.4931034094727962,-0.045365094963433994,23644403.409485858,0.06729634002361275,0.597664961301325,0.3350386986750623,71,24,77.76353659186469
