method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_post_2010_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_tecl_share,max_tecl_share,max_asset_switches,max_total_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements
E_relative_strength,E: Relative strength,relative_10_0.05,"{""relative_return_threshold"": 0.05, ""tecl_minus_tqqq_lookback_days"": 10}",0.3914535885702759,0.3960075238931209,0.38761914119747565,0.37622034020147566,0.31339607317441387,-0.07010810841501958,0.4476337410663565,-0.5995837886766099,-0.3707790080622211,0.02243211334120425,0.022563295290568018,188,194.76353659186472,0.3914535885702759,0.40056145921596586,0.009107870645689964,True
E_relative_strength,E: Relative strength,relative_20_0.00,"{""relative_return_threshold"": 0.0, ""tecl_minus_tqqq_lookback_days"": 20}",0.2968942285036278,0.3171438330879689,0.31673469650163644,0.29272719707627703,0.40541412814837674,-0.0898260229068707,0.4457452182063539,-0.6063042906213116,-0.3707790080622211,0.2773186409550046,0.27744982290436837,676,682.7635365918647,0.2968942285036278,0.33739343767231,0.040499209168682215,False
E_relative_strength,E: Relative strength,relative_20_0.02,"{""relative_return_threshold"": 0.02, ""tecl_minus_tqqq_lookback_days"": 20}",0.3490278535143274,0.3546893066387158,0.36455383836714517,0.34456053321495506,0.49963544894776324,-0.06625642796996023,0.4467127924406232,-0.5978843380140768,-0.3707790080622211,0.1386593204775023,0.13879050242686605,482,488.7635365918647,0.3490278535143274,0.36035075976310416,0.011322906248776743,True
E_relative_strength,E: Relative strength,relative_20_0.05,"{""relative_return_threshold"": 0.05, ""tecl_minus_tqqq_lookback_days"": 20}",0.39972184747834794,0.40000435301656845,0.38870993871002746,0.3761836839843138,0.3527650465661607,-0.06697370693087912,0.44656034380859805,-0.6034734817077725,-0.3707790080622211,0.03581267217630854,0.03594385412567231,222,228.76353659186472,0.39972184747834794,0.40028685855478896,0.0005650110764410243,True
E_relative_strength,E: Relative strength,relative_40_0.00,"{""relative_return_threshold"": 0.0, ""tecl_minus_tqqq_lookback_days"": 40}",0.35310833741099446,0.3580647770122255,0.3661422283841058,0.346409229210789,0.3307873909722556,-0.08868432317080954,0.4498872025265674,-0.6077563384837505,-0.3707790080622211,0.25554243736061916,0.25567361930998295,444,450.7635365918647,0.35310833741099446,0.36302121661345654,0.009912879202462088,True
E_relative_strength,E: Relative strength,relative_40_0.02,"{""relative_return_threshold"": 0.02, ""tecl_minus_tqqq_lookback_days"": 40}",0.3564629304291993,0.36529349909061826,0.3755047301921963,0.3631252429316052,0.3515107253105081,-0.08219030931085869,0.4500132303241021,-0.6101164699078192,-0.3707790080622211,0.15833661288206743,0.1584677948314312,380,386.7635365918647,0.3564629304291993,0.3741240677520372,0.017661137322837916,True
E_relative_strength,E: Relative strength,relative_40_0.05,"{""relative_return_threshold"": 0.05, ""tecl_minus_tqqq_lookback_days"": 40}",0.37782383998323965,0.3900566400967709,0.37705346736873735,0.3662092558899006,0.37354621036438385,-0.10075956711317835,0.4496227135047157,-0.6011629806046214,-0.3707790080622211,0.06637806637806638,0.06650924832743015,256,262.7635365918647,0.37782383998323965,0.4022894402103021,0.024465600227062456,True
E_relative_strength,E: Relative strength,relative_60_0.00,"{""relative_return_threshold"": 0.0, ""tecl_minus_tqqq_lookback_days"": 60}",0.34710816459785976,0.3522370532786234,0.36188320381969064,0.3423456623970289,0.4596168340393849,-0.07129995128262956,0.45179668582395255,-0.6398963250903767,-0.3707790080622211,0.2547553456644366,0.2548865276138003,396,402.7635365918647,0.34710816459785976,0.3573659419593871,0.010257777361527332,True
E_relative_strength,E: Relative strength,relative_60_0.02,"{""relative_return_threshold"": 0.02, ""tecl_minus_tqqq_lookback_days"": 60}",0.3490830619056906,0.35726523350043016,0.36226067488837765,0.34728088922346645,0.32909547748895296,-0.07129995128262956,0.45134758448685747,-0.6317618994641168,-0.3707790080622211,0.1778827233372688,0.17801390528663255,370,376.76353659186475,0.3490830619056906,0.3654474050951697,0.016364343189479102,True
E_relative_strength,E: Relative strength,relative_60_0.05,"{""relative_return_threshold"": 0.05, ""tecl_minus_tqqq_lookback_days"": 60}",0.3672421462527391,0.36863871018698946,0.36426094113153495,0.3502898007581894,0.1459733705356112,-0.07497850818989038,0.45022093542685643,-0.6175454028409249,-0.3707790080622211,0.08776072412436049,0.08776072412436049,242,248.76353659186472,0.3672421462527391,0.3700352741212398,0.002793127868500722,True
