method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_requirements,positive_2026_both_delays,tqqq_2026_capture_ratio,strong_solution
downside_deviation,Downside-deviation strategy,downside_40_0.27,"{""downside_threshold"": 0.27, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2787281126257699,0.2901328988707861,0.3492170997105881,0.5328691900415947,0.06580260888283984,0.4944683753678214,-0.909136512206741,-0.9091365122067409,0.7120556211465302,0.712186803095894,123.99129552476002,124.00108639385925,0.2787281126257699,0.30153768511580226,0.022809572490032348,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.28,"{""downside_threshold"": 0.28, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2980780974281847,0.30686953836382325,0.3485171055810734,0.45628347202388775,0.06580260888283984,0.5010952814445958,-0.8862633176589897,-0.8862633176589899,0.7175652630198085,0.7176964449691723,119.91280110533566,119.9235924884498,0.2980780974281847,0.3156609792994618,0.0175828818712771,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.29,"{""downside_threshold"": 0.29, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2921383716862682,0.3052076873801277,0.3485171055810734,0.45628347202388775,0.06580260888283984,0.5081953076314978,-0.8969361019690207,-0.8969361019690206,0.721763085399449,0.7218942673488128,117.84336318670174,117.85762650718326,0.2921383716862682,0.3182770030739872,0.02613863138771899,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.30,"{""downside_threshold"": 0.3, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2917268841588383,0.30264583518288013,0.3455855344723666,0.479334041589093,0.06580260888283984,0.5092911545623593,-0.8989345953299692,-0.8989345953299692,0.7230749048930867,0.7232060868424505,115.82109271927337,115.83439957979303,0.2917268841588383,0.31356478620692196,0.02183790204808367,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_45_0.10,"{""downside_threshold"": 0.1, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.07864890256128443,0.08534193886566532,0.09879422093208978,0.4218000085088316,-0.02322024951618018,0.2340793564740072,-0.660316267514993,-0.08542700623432053,0.27535091171454806,0.27535091171454806,141.96835733289757,141.99891865379539,0.07864890256128443,0.09203497517004622,0.01338607260876179,False,False,False,-0.20516146936727586,False
downside_deviation,Downside-deviation strategy,downside_45_0.11,"{""downside_threshold"": 0.11, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.06239602038019498,0.07363750752142806,0.07552352743852797,0.43262055947351796,-0.06784386255082187,0.2602151968438136,-0.6655913076128297,-0.08542700623432053,0.3286107831562377,0.3286107831562377,129.0502946037141,129.07336634762802,0.06239602038019498,0.08487899466266113,0.02248297428246615,False,False,False,-0.5994313936540262,False
downside_deviation,Downside-deviation strategy,downside_45_0.12,"{""downside_threshold"": 0.12, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.09982791076245978,0.10218405029535871,0.14758940997302994,0.13613404168534182,-0.20666160933099265,0.29295843872305366,-0.5504363410322912,-0.23101357618880625,0.394464121736849,0.394464121736849,147.98717731706896,147.99199346613688,0.09982791076245978,0.10454018982825763,0.004712279065797853,False,False,False,-1.825949346608364,False
downside_deviation,Downside-deviation strategy,downside_45_0.13,"{""downside_threshold"": 0.13, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.11005576217741364,0.11275580544719033,0.15876568629036059,0.14093656234627971,-0.1460219944065363,0.32438699244736263,-0.6244820684526604,-0.2570880189693654,0.4621540076085531,0.4621540076085531,136.92997858055574,136.93826960418323,0.11005576217741364,0.11545584871696701,0.005400086539553373,False,False,False,-1.2901707585661355,False
downside_deviation,Downside-deviation strategy,downside_45_0.14,"{""downside_threshold"": 0.14, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.18352588782253543,0.19646169817283077,0.28712989032420855,0.19673564210161398,-0.07497850818989038,0.34775736590788187,-0.6463626777247127,-0.3030011717065447,0.5133149678604224,0.5134461498097862,131.10458826463108,131.11315962234448,0.18352588782253543,0.2093975085231261,0.02587162070059068,False,False,False,-0.6624692340401152,False
downside_deviation,Downside-deviation strategy,downside_45_0.15,"{""downside_threshold"": 0.15, ""downside_window"": 45, ""volatility_type"": ""downside_deviation_zero_target""}",0.2157179589674687,0.21966237261392108,0.3343550158227071,0.5799447108657605,0.06580260888283984,0.3722626290796623,-0.5983979356726015,-0.2310135761888068,0.553063098517644,0.5531942804670077,108.4305118680941,108.4352322205332,0.2157179589674687,0.22360678626037345,0.007888827292904743,False,False,True,0.5813959887552668,False
