ma_window,vol_window,vol_threshold,tolerance,min_delay_cagr,mean_delay_cagr,worst_max_drawdown,worst_dotcom_drawdown
150,47,0.33,0.03,0.3905876183067194,0.40176714558239013,-0.5986999094008929,-0.33154928761238545
135,40,0.31,0.04,0.39051604725088906,0.40612254160562267,-0.543428227326544,-0.23117217122010802
149,42,0.31,0.03,0.39024062004896276,0.3979879695266224,-0.5986999094008927,-0.2310135761888067
150,52,0.33,0.03,0.3902294792088983,0.4012650889390531,-0.5986999094008925,-0.33154928761238533
157,46,0.32,0.03,0.3901970106401633,0.3907726848059153,-0.6047313813609773,-0.3392857563953483
145,38,0.31,0.02,0.39012391068023367,0.3913106147440891,-0.5200765156231947,-0.2310135761888067
154,47,0.32,0.03,0.39009388642937304,0.3922624543885822,-0.6047313813609769,-0.33928575639534886
155,45,0.32,0.03,0.38994573209317385,0.3912550671467018,-0.6047313813609767,-0.3392857563953481
150,40,0.31,0.02,0.38993764427173083,0.3978105323771154,-0.5610086004421946,-0.3006261821366084
140,39,0.31,0.04,0.3898821725565651,0.4030794281081117,-0.5434282273265436,-0.23101357618880647
164,39,0.31,0.03,0.3898391697628629,0.4021316875458256,-0.6047313813609769,-0.23101357618880625
156,45,0.32,0.03,0.3897944906279549,0.3922720073871214,-0.6047313813609769,-0.3392857563953485
144,44,0.32,0.03,0.3897919541638628,0.39693878454433584,-0.5986999094008926,-0.3392857563953482
145,44,0.32,0.03,0.3897919541638628,0.39693878454433584,-0.5986999094008926,-0.3392857563953482
146,44,0.32,0.03,0.3897919541638628,0.39693878454433584,-0.5986999094008926,-0.3392857563953482
152,43,0.31,0.03,0.38978374039837593,0.3904762143733663,-0.5986999094008933,-0.3392857563953485
147,52,0.34,0.03,0.38969979451872194,0.39134278847859383,-0.5986999094008925,-0.33154928761238533
148,52,0.34,0.03,0.38969979451872194,0.39134278847859383,-0.5986999094008925,-0.33154928761238533
158,42,0.31,0.03,0.3896415342852404,0.39011926709530864,-0.6047313813609776,-0.23101357618880636
149,38,0.31,0.02,0.38963907285778143,0.3911236597182213,-0.5610086004421946,-0.23101357618880625
151,40,0.31,0.02,0.38963481003412803,0.3903327837061247,-0.561008600442195,-0.3006261821366084
150,54,0.33,0.03,0.38955875258947503,0.3985206302557758,-0.5986999094008931,-0.33154928761238533
153,40,0.31,0.02,0.3894301455064404,0.39343479013087523,-0.561008600442195,-0.3006261821366082
151,51,0.34,0.03,0.3894070785241899,0.39722374767490065,-0.5986999094008927,-0.33154928761238545
140,41,0.31,0.04,0.3893273609294554,0.4016057011609908,-0.5434282273265447,-0.2310135761888069
155,46,0.32,0.03,0.3893197389029668,0.3894910501912019,-0.6047313813609766,-0.3392857563953484
150,45,0.33,0.03,0.389282727301532,0.4090129404222268,-0.5986999094008922,-0.3392857563953482
162,41,0.31,0.02,0.38927769293973347,0.3909196918091993,-0.5686347421536151,-0.23101357618880625
154,44,0.32,0.03,0.38924614970763805,0.4011609405214078,-0.6047313813609769,-0.33928575639534864
152,45,0.34,0.03,0.38924461813092015,0.39442052140085293,-0.5986999094008929,-0.33154928761238545
