feature,n,win_mean,loss_mean,win_median,loss_median,loss_minus_win_mean,corr_with_episode_return,corr_with_is_win
IWM_PREV_CLOSE_RET_20D,97,0.047914415428758524,0.05350386112281923,0.045022306176784044,0.05001457815838006,0.005589445694060703,-0.010005447688403106,-0.07172179313387932
TLT_PREV_CLOSE_RET_5D,97,-0.0038294991544284983,-0.001529293077780252,-0.0033339051139833487,0.0013910527392718697,0.0023002060766482463,0.08315108607949179,-0.07091679336894863
HYG_TLT_PREV_CLOSE_RET_20D,97,0.013109481220516887,0.017484632820471614,0.012662021689205716,0.01519927345981087,0.004375151599954727,0.03487866297176991,-0.07079387952698091
^VIX_PREV_CLOSE_SMA20_RATIO,97,-0.0664296855800954,-0.07499659364684427,-0.06551735863310304,-0.0701836760041839,-0.008566908066748868,0.052134758424908355,0.0701233565991469
UUP_PREV_CLOSE_RET_5D,97,-0.00030041036246011973,-0.0017343426501149825,0.0,-0.0013884191606305385,-0.0014339322876548628,0.01945365350519199,0.06733958309116846
QQQ_PREV_CLOSE_RET_20D,97,0.05007196750644321,0.053598402651393026,0.04796507979360709,0.05179480675730774,0.0035264351449498174,0.16920407938916038,-0.06673770044379758
IWM_PREV_CLOSE_RET_5D,97,0.01315914383696252,0.015835124475068216,0.011464955194234294,0.009967315934505061,0.0026759806381056964,-0.10506177630465013,-0.06656712452855298
QQQ_SPY_PREV_CLOSE_RATIO_SMA20,97,0.004023448895428415,0.005163215293432874,0.0037769907187936713,0.006691303159965689,0.0011397663980044588,0.20156776492399867,-0.06505976446441177
QQQ_PREV_CLOSE_RET_5D,97,0.015332717423042078,0.017032529261370433,0.014394506060918966,0.014392713697090054,0.0016998118383283554,0.09455143353897678,-0.06470294185829935
UUP_PREV_CLOSE_SMA20_RATIO,97,-0.0016445505814560945,-0.00039803018564735226,-0.0005342954024812885,0.0020765098241232183,0.0012465203958087422,-0.06523170592462543,-0.05747408191244349
UVIX_PREV_CLOSE_SMA20_RATIO,97,-0.16861761005314746,-0.16150779460849227,-0.1631299915949418,-0.14862849923280635,0.007109815444655193,-0.05560975154224027,-0.04932193972366531
TLT_PREV_CLOSE_SMA20_RATIO,97,-0.003948199760579329,-0.002392369514413517,-0.00471377920406113,-0.0019131852619974632,0.001555830246165812,-0.09126691426646247,-0.048869307660959066
^VIX3M_PREV_CLOSE_SMA20_RATIO,97,-0.04868526709031435,-0.04467348417528336,-0.049677422167564766,-0.03196315140634648,0.004011782915030994,-0.014019068397824758,-0.046487090761290324
IWM_SPY_PREV_CLOSE_RET_20D,97,0.006666028934261723,0.009247468212268947,0.0031459026352382846,0.010074053352185364,0.0025814392780072245,-0.048168194858289985,-0.044898198047695785
^VIX_PREV_CLOSE_RET_5D,97,-0.045313551164578574,-0.05130566157507012,-0.047351536980864584,-0.05681381998733115,-0.005992110410491545,0.1288276825113016,0.04036243731060652
SPY_PREV_CLOSE_RET_5D,97,0.013028762178319206,0.013815071000435046,0.011688899996054047,0.011373646472887189,0.0007863088221158401,-0.0656774789753256,-0.040282268385688366
FNG_VALUE,85,68.2,69.36,69.5,70.0,1.1599999999999966,-0.013268463866110431,-0.037625944593530844
UUP_SPY_PREV_CLOSE_RET_20D,97,-0.04124813909475884,-0.042829783577616715,-0.034925660310638706,-0.04222643391289588,-0.0015816444828578718,-0.11083269084136757,0.030542934230114473
FNG_PREV_CHANGE_20D,81,17.68421052631579,16.0,16.0,18.0,-1.6842105263157912,0.15952609030314238,0.025775347101640353
UVIX_PREV_CLOSE_SMA50_RATIO,97,-0.34118368384999176,-0.34555801675488457,-0.33538793141992007,-0.33769214195325103,-0.004374332904892808,-0.1523149612903835,0.02394116091420003
