condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct
GSPC_SMA20_RATIO <= 1.899% AND entry_rsi <= 70.083,97,0.6701030927835051,3.6372703711577916,10,2,8,0.2,1.2649616872165559,0.0625,0.12307692307692308,87,0.6551724137931034,3.909949530231497,3.414045651775033,-0.01493067899040168,0.27267915907370543
GSPC_SMA20_RATIO <= 1.899% AND pre10_tqqq_open_return <= 2.417%,97,0.6701030927835051,3.6372703711577916,13,4,9,0.3076923076923077,3.3800074456578524,0.125,0.13846153846153847,84,0.6666666666666666,3.677084871532783,3.2087335467704703,-0.0034364261168384758,0.03981450037499146
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA50_RATIO <= 3.691%,97,0.6701030927835051,3.6372703711577916,13,5,8,0.38461538461538464,2.300819088801066,0.15625,0.12307692307692308,84,0.6785714285714286,3.844102117236809,3.2087335467704703,0.008468335787923498,0.20683174607901744
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre5_tqqq_open_return >= 3.805%,97,0.6701030927835051,3.6372703711577916,13,6,7,0.46153846153846156,2.395638206537983,0.1875,0.1076923076923077,84,0.6904761904761905,3.829427729968001,3.2087335467704703,0.02037309769268536,0.19215735881020946
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre20_tqqq_open_return >= 15.976%,97,0.6701030927835051,3.6372703711577916,12,6,6,0.5,1.7013532799199593,0.1875,0.09230769230769231,85,0.6941176470588235,3.9105763134501914,3.414045651775033,0.0240145542753184,0.2733059422923998
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre10_tqqq_open_return >= 8.575%,97,0.6701030927835051,3.6372703711577916,14,6,8,0.42857142857142855,5.240907199240155,0.1875,0.12307692307692308,83,0.6867469879518072,3.3667774122041405,2.979870810323071,0.016643895168302114,-0.2704929589536511
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_BB20_Z <= 1.548,97,0.6701030927835051,3.6372703711577916,9,3,6,0.3333333333333333,2.2087468843187548,0.09375,0.09230769230769231,88,0.6704545454545454,3.783369364129966,3.2087335467704703,0.00035145267104030875,0.14609899297217455
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_CLOSE_RET_10D >= 3.009%,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,3.959303357261722,0.125,0.09230769230769231,87,0.6781609195402298,3.6002550853987203,3.0941502907246177,0.008057826756724729,-0.037015285759071315
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_SMA160_Z >= 2.236,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,4.1088727483823195,0.125,0.09230769230769231,87,0.6781609195402298,3.5830632013618695,2.979870810323071,0.008057826756724729,-0.054207169795922105
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre5_tqqq_open_return >= 4.942%,97,0.6701030927835051,3.6372703711577916,13,6,7,0.46153846153846156,2.395638206537983,0.1875,0.1076923076923077,84,0.6904761904761905,3.829427729968001,3.2087335467704703,0.02037309769268536,0.19215735881020946
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_CLOSE_RET_5D >= 1.548%,97,0.6701030927835051,3.6372703711577916,12,4,8,0.3333333333333333,1.8258188861701654,0.125,0.12307692307692308,85,0.6705882352941176,3.8930046984501625,2.979870810323071,0.0004851425106124907,0.2557343272923709
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_SMA160_Z >= 2.209,97,0.6701030927835051,3.6372703711577916,11,4,7,0.36363636363636365,3.954659928087726,0.125,0.1076923076923077,86,0.6744186046511628,3.5966740324807076,3.0370105505238443,0.004315511867657662,-0.04059633867708401
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre5_tqqq_open_return >= 4.259%,97,0.6701030927835051,3.6372703711577916,13,6,7,0.46153846153846156,2.395638206537983,0.1875,0.1076923076923077,84,0.6904761904761905,3.829427729968001,3.2087335467704703,0.02037309769268536,0.19215735881020946
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre5_tqqq_open_return >= 6.277%,97,0.6701030927835051,3.6372703711577916,8,3,5,0.375,3.1455493435224,0.09375,0.07692307692307693,89,0.6741573033707865,3.6814700140913104,3.0941502907246177,0.004054210587281393,0.044199642933518746
GSPC_SMA160_SLOPE_20D >= 1.474% AND entry_rsi <= 70.083,97,0.6701030927835051,3.6372703711577916,11,2,9,0.18181818181818182,3.5234599679754255,0.0625,0.13846153846153847,86,0.6511627906976745,3.651827515750885,2.970274973487108,-0.01894030208583064,0.01455714459309343
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_SMA20_RATIO <= 1.711%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,4.266109446211175,0.0625,0.09230769230769231,89,0.6629213483146067,3.5807455104788364,3.0941502907246177,-0.00718174446889841,-0.056524860678955235
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre10_tqqq_open_return <= 2.417%,97,0.6701030927835051,3.6372703711577916,9,2,7,0.2222222222222222,3.705149878360037,0.0625,0.1076923076923077,88,0.6590909090909091,3.63032814883029,3.0370105505238443,-0.011012183692596045,-0.006942222327501746
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_CLOSE_RET_5D >= 1.675%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,2.8126989813208136,0.09375,0.12307692307692308,86,0.6627906976744186,3.7427388047415913,2.970274973487108,-0.007312395109086545,0.10546843358379965
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_SMA50_RATIO <= 3.691%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,3.5677642358081005,0.0625,0.09230769230769231,89,0.6629213483146067,3.6435181136611354,2.9606791366511453,-0.00718174446889841,0.006247742503343812
GSPC_SMA160_SLOPE_20D >= 1.474% AND pre10_tqqq_open_return >= 9.517%,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,6.125411937344703,0.125,0.09230769230769231,87,0.6781609195402298,3.351277087688032,2.979870810323071,0.008057826756724729,-0.2859932834697596
pre5_tqqq_open_return >= 3.805% AND pre20_tqqq_open_return >= 15.976%,97,0.6701030927835051,3.6372703711577916,13,3,10,0.23076923076923078,12.235410575281579,0.09375,0.15384615384615385,84,0.6547619047619048,2.3066058157576816,2.7306823106615252,-0.015341188021600338,-1.33066455540011
pre5_tqqq_open_return >= 3.805% AND pre10_tqqq_open_return >= 8.575%,97,0.6701030927835051,3.6372703711577916,19,7,12,0.3684210526315789,7.510464059290975,0.21875,0.18461538461538463,78,0.6794871794871795,2.6938001137920167,3.187362394213089,0.00938408670367441,-0.943470257365775
