Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2022-08-18,320.8706162835581,320.01699015700905,False,,above,above,0.0067023777031558485
2022-08-19,318.6529637644111,319.5768810876145,True,17.42155481658913,wait_mix,above,-0.03330881769840144
2022-08-22,311.15974534576816,319.07981730184366,True,17.42155481658913,wait_mix,wait_mix,-0.008835722736352802
2022-08-23,306.88061232020414,318.5276284989373,True,17.42155481658913,wait_mix,wait_mix,-0.005124945481866927
2022-08-24,306.3823937431,318.0291948849056,True,17.42155481658913,wait_mix,wait_mix,-0.0090417143035455
2022-08-25,309.52819645519156,317.6332288630378,True,17.42155481658913,wait_mix,wait_mix,0.02117311531806232
2022-08-26,312.8987265746336,317.2743208832545,True,17.42155481658913,wait_mix,wait_mix,0.004750584149577852
2022-08-29,297.599591598888,316.74381588316203,True,17.42155481658913,below,wait_mix,-0.009384399316268222
2022-08-30,299.0454597995629,316.29794418844455,True,17.42155481658913,below,below,-0.03343579503499072
2022-08-31,296.9841784875748,315.7746987458574,True,17.42155481658913,below,below,-0.01835506098886952
2022-09-01,289.8817101402858,315.1999479060892,True,17.42155481658913,below,below,0.0010787573272812434
2022-09-02,295.3721415907117,314.7636772795953,True,17.42155481658913,below,below,-0.04166669057655725
2022-09-06,288.84612926244324,314.21217154763633,True,17.42155481658913,below,below,-0.022863552870295845
2022-09-07,286.77492289275,313.7331437441539,True,17.42155481658913,below,below,0.059071617805507515
2022-09-08,290.0086826705722,313.34819231295575,True,17.42155481658913,below,below,0.01629857540708457
2022-09-09,295.85077290539635,313.0179804089668,True,17.42155481658913,below,below,0.06343545838848796
2022-09-12,301.39018572177207,312.78704139818785,True,17.42155481658913,below,below,0.03652839967885435
2022-09-13,294.84460581073347,312.4930591665661,True,17.42155481658913,below,below,-0.16456524905556302
2022-09-14,288.07424998711866,312.1434770629078,True,17.42155481658913,below,below,0.02244579243982936
2022-09-15,287.2927582788641,311.8488386351169,True,17.42155481658913,below,below,-0.05034062350011148
2022-09-16,281.08908996251955,311.51133028028335,True,17.42155481658913,below,below,-0.019529556190732045
2022-09-19,280.00873935928564,311.12984645296575,True,17.42155481658913,below,below,0.023983493798566347
2022-09-20,282.3478531158375,310.71501606958384,True,17.42155481658913,below,below,-0.023818850025578264
2022-09-21,283.42441230062724,310.26306879849756,True,17.42155481658913,below,below,-0.05490031269909146
2022-09-22,275.9959877236679,309.70826273455225,True,17.42155481658913,below,below,-0.03700542528669237
2022-09-23,271.64077166927524,309.24225193139245,True,17.42155481658913,below,below,-0.04781054668451601
2022-09-26,269.1743940484729,308.7330071533547,True,17.42155481658913,below,below,-0.013608526310551539
2022-09-27,271.89519684927933,308.26673790175573,True,17.42155481658913,below,below,0.0009517357492108136
2022-09-28,268.6165211798836,307.7393589336438,True,17.42155481658913,below,below,0.05845958005700247
