feature,direction,threshold,n,loss_rate,avg_return,median_return
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
rsi_change,<=,0.0,57,0.21052631578947367,0.05008670834890833,0.0388260373874842
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
max_tqqq_open_return_from_entry,<=,0.0,43,0.20930232558139536,0.039578064694851395,0.0332331680281632
rsi_change,<=,0.04824185226938547,58,0.20689655172413793,0.05034704260755785,0.0388324151518061
max_tqqq_open_return_from_entry,<=,0.00544333706451039,49,0.20408163265306123,0.04217417660665874,0.0344071668865759
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
holding_days,<=,1.0,35,0.2,0.04165990188342848,0.0343124823025324
entry_rsi,>=,71.70266777944417,20,0.2,0.05722033999509625,0.06640696488051075
pre5_tqqq_open_return,<=,0.0018603860549195614,20,0.2,0.03617478513999712,0.0268966225871879
rsi_change,<=,-0.6834313368220277,20,0.2,0.06427148007026645,0.060911368392507395
episode_tqqq_open_return,<=,-0.002666298439734204,10,0.2,0.07594712567270276,0.0655364509794488
pre5_tqqq_open_return,<=,-0.008172517311285741,10,0.1,0.017498658820010962,0.01200598819731895
rsi_change,<=,-2.0900645589204685,10,0.1,0.06012899643992749,0.060911368392507395
