feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
^VIX3M_PREV_CLOSE_SMA20_RATIO,<=,-0.03922655635131067,97,49,13,36,0.2653061224489796,4.361330978760571,48,0.6041666666666666,2.898125167563288,0.40625,0.5538461538461539,1.6688662269809902
UUP_SPY_PREV_CLOSE_RET_20D,>=,-0.05705728616256198,97,77,24,53,0.3116883116883117,2.6535508520292233,20,0.6,7.4245905198027815,0.75,0.8153846153846154,1.6675332222938353
^VIX_OPEN_SMA20_RATIO,<=,-0.05309414516694423,97,58,17,41,0.29310344827586204,4.007865721470256,39,0.6153846153846154,3.086128568128999,0.53125,0.6307692307692307,1.6627944920669275
HYG_LQD_PREV_CLOSE_RET_20D,<=,0.013765034542951202,97,77,24,53,0.3116883116883117,2.678537270119058,20,0.6,7.3283928101569185,0.75,0.8153846153846154,1.6627233368115422
SPY_PREV_CLOSE_SMA20_RATIO,<=,0.027157854029729568,97,77,25,52,0.3246753246753247,3.6064866682601044,20,0.65,3.7557876273138895,0.78125,0.8,1.6624647060410191
FNG_PREV_CHANGE_5D,>=,2.3999999999999986,82,49,12,37,0.24489795918367346,5.932209991394498,33,0.6363636363636364,1.508212926486241,0.375,0.5692307692307692,1.6601687453681253
^VIX3M_OPEN_GAP_FROM_PREV_CLOSE,<=,0.0017827635953514822,97,58,17,41,0.29310344827586204,4.070001964211219,39,0.6153846153846154,2.9937208225142333,0.53125,0.6307692307692307,1.6581741047861893
^VIX3M_OPEN_GAP_FROM_PREV_CLOSE,<=,-0.0049483914930890304,97,39,9,30,0.23076923076923078,6.715140315512354,58,0.603448275862069,1.5676681671952417,0.28125,0.46153846153846156,1.657959005176738
UUP_SPY_PREV_CLOSE_RET_20D,<=,-0.025847840267970938,97,68,22,46,0.3235294117647059,4.539140540470549,29,0.6551724137931034,1.522540318976153,0.6875,0.7076923076923077,1.657481361400516
IWM_SPY_PREV_CLOSE_RET_20D,<=,0.0009550697616779441,97,39,9,30,0.23076923076923078,6.798280074607867,58,0.603448275862069,1.5117638464241216,0.28125,0.46153846153846156,1.6551637891381819
TLT_PREV_CLOSE_SMA20_RATIO,<=,0.002830575228488809,97,68,22,46,0.3235294117647059,4.563985344513986,29,0.6551724137931034,1.4642835370812017,0.6875,0.7076923076923077,1.6545685223057687
VIX3M_VIX_PREV_CLOSE_RATIO,<=,0.2042041357844584,97,68,21,47,0.3088235294117647,3.4264595719231363,29,0.6206896551724138,4.1315853486735366,0.65625,0.7230769230769231,1.65439483928576
VIX_VIX3M_PREV_CLOSE_RATIO,>=,-0.16957591410497858,97,68,21,47,0.3088235294117647,3.4264595719231363,29,0.6206896551724138,4.1315853486735366,0.65625,0.7230769230769231,1.65439483928576
GLD_PREV_CLOSE_RET_20D,>=,0.014157196987483104,97,39,9,30,0.23076923076923078,6.85875350214922,58,0.603448275862069,1.4711006796290733,0.28125,0.46153846153846156,1.6531306307984295
QQQ_PREV_CLOSE_SMA20_RATIO,>=,0.019951091133543344,97,68,22,46,0.3235294117647059,4.576851654124062,29,0.6551724137931034,1.4341142593748166,0.6875,0.7076923076923077,1.6530600584204493
UVIX_OPEN,>=,5.4031431771819713e-11,97,68,22,46,0.3235294117647059,4.596638988733382,29,0.6551724137931034,1.3877163713253728,0.6875,0.7076923076923077,1.6507401640179773
UVIX_CLOSE,>=,5.2778496287017205e-11,97,68,22,46,0.3235294117647059,4.596638988733382,29,0.6551724137931034,1.3877163713253728,0.6875,0.7076923076923077,1.6507401640179773
