stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
local,1.6044857870499132,41.0,0.9,66.5,63.5,14.0,1.05,30.0,38.0,
,1.604033057446618,40.5,0.7,66.5,60.0,14.0,1.1,30.5,38.5,131
local,1.603793589625056,39.5,0.9,66.5,60.0,14.0,1.15,30.0,38.0,
local,1.6036079575076423,40.5,0.8,66.5,60.0,14.0,1.05,30.5,34.5,
local,1.6035961654937885,39.5,0.9,66.5,60.0,14.0,1.15,30.0,37.5,
local,1.6028964427159402,40.5,0.8,66.0,60.0,14.0,1.1,29.0,34.5,
local,1.6022997622802397,40.0,0.9,66.0,60.0,14.0,1.1,30.0,38.0,
local,1.6022997622802397,39.5,0.9,66.0,60.0,14.0,1.1,30.0,38.0,
local,1.6022197203148063,39.5,0.8,66.0,60.0,14.0,1.1,30.0,32.0,
local,1.6020083050684426,40.5,0.9,66.5,60.0,14.0,1.1,31.0,38.0,
,1.6019363172125116,39.5,0.6,66.0,63.0,14.0,1.1,29.5,38.0,11
local,1.6016698798644584,39.5,0.9,66.5,60.0,14.0,1.05,30.0,36.5,
local,1.601460257665471,41.0,0.9,66.5,63.5,14.0,1.1,30.0,33.5,
local,1.6012724413147326,41.5,0.8,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.6012225350849678,40.0,0.7,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.6012225350849678,39.5,0.7,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.601151311110026,40.5,0.9,66.5,63.5,14.0,1.1,29.0,33.0,
local,1.6003367816784313,40.5,0.8,66.0,62.5,14.0,1.1,28.5,38.0,
,1.5997558181892333,40.0,0.7,66.0,64.5,14.0,1.05,29.5,38.0,131
,1.599336045126004,39.0,0.9,66.5,61.5,14.0,1.05,30.0,39.5,131
local,1.5991303741359348,39.5,0.8,66.5,60.0,14.0,1.1,30.0,33.0,
local,1.5988860351373408,40.5,0.9,66.5,63.5,14.0,1.1,31.0,35.0,
local,1.597993341208269,40.5,0.9,66.5,60.0,14.0,1.2,30.0,38.0,
local,1.5979340175160366,39.5,0.8,66.5,60.0,14.0,1.05,30.0,38.0,
local,1.5978006606726294,40.5,0.9,66.5,60.0,15.0,1.1,30.0,38.0,
local,1.597526853171427,40.5,0.8,66.0,60.0,14.0,1.1,31.5,33.5,
,1.597168860301021,40.5,0.8,65.5,61.5,14.0,1.1,29.5,38.0,131
local,1.597168860301021,40.5,0.8,65.5,62.5,14.0,1.1,29.5,38.0,
local,1.5970831809396318,40.5,0.8,66.5,60.0,14.0,1.15,30.0,34.5,
local,1.5970247713141879,41.5,0.8,66.0,60.0,14.0,1.1,30.0,34.0,
local,1.5969578907451023,41.0,0.7,66.0,62.5,14.0,1.15,29.5,38.0,
local,1.5965363145779867,39.5,0.6,66.0,60.0,14.0,1.1,30.0,33.0,
