signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
TQQQ,2010-02-12,160,28.0,0.40929456845551426,0.5445025542116275,-0.7566773250151841,254.62772814142343,0.11034652248709757,0.13148193659375768
TQQQ,2010-02-12,160,28.5,0.40929456845551426,0.5445025542116275,-0.7566773250151841,254.62772814142343,0.11034652248709757,0.13148193659375768
TQQQ,2010-02-12,160,29.0,0.4113338414658414,0.5444424388168598,-0.7566773250151844,260.64268053619037,0.11010076185795035,0.1317276972229049
TQQQ,2010-02-12,160,29.5,0.4299695592323107,0.5474212149699944,-0.7403888503278531,322.1325398817584,0.10960924059965593,0.1322192184811993
TQQQ,2010-02-12,160,30.0,0.4397487687223778,0.547093300015881,-0.7403888503278528,359.6068555467848,0.10936347997050873,0.13246497911034652
TQQQ,2010-02-12,160,30.5,0.4397487687223778,0.547093300015881,-0.7403888503278528,359.6068555467848,0.10936347997050873,0.13246497911034652
TQQQ,2010-02-12,160,31.0,0.4397487687223778,0.547093300015881,-0.7403888503278528,359.6068555467848,0.10936347997050873,0.13246497911034652
TQQQ,2010-02-12,160,31.5,0.4397487687223778,0.547093300015881,-0.7403888503278528,359.6068555467848,0.10936347997050873,0.13246497911034652
TQQQ,2010-02-12,160,32.0,0.46660995607010336,0.5332881642492265,-0.7403888503278528,484.67796232794245,0.10125337920865077,0.14057507987220447
TQQQ,2010-02-12,160,32.5,0.46660995607010336,0.5332881642492265,-0.7403888503278528,484.67796232794245,0.10125337920865077,0.14057507987220447
TQQQ,2010-02-12,160,33.0,0.43693385762973036,0.5316742438879476,-0.7403888503278528,348.4208727163445,0.09904153354632587,0.14278692553452937
TQQQ,2010-02-12,160,33.5,0.43693385762973036,0.5316742438879476,-0.7403888503278528,348.4208727163445,0.09904153354632587,0.14278692553452937
TQQQ,2010-02-12,160,34.0,0.4423952650640923,0.5317865667534394,-0.7403888503278528,370.43006064655697,0.09879577291717867,0.1430326861636766
TQQQ,2010-02-12,160,34.5,0.4423952650640923,0.5317865667534394,-0.7403888503278528,370.43006064655697,0.09879577291717867,0.1430326861636766
TQQQ,2010-02-12,160,35.0,0.4423952650640923,0.5317865667534394,-0.7403888503278528,370.43006064655697,0.09879577291717867,0.1430326861636766
TQQQ,2010-02-12,160,35.5,0.4434106304972929,0.5318122428678855,-0.7403888503278526,374.6630610198592,0.09855001228803145,0.14327844679282378
TQQQ,2010-02-12,160,36.0,0.4065284417303905,0.5301417073305152,-0.740388850327853,246.67677501341416,0.0901941508970263,0.15163430818382895
TQQQ,2010-02-12,160,36.5,0.4065284417303905,0.5301417073305152,-0.740388850327853,246.67677501341416,0.0901941508970263,0.15163430818382895
TQQQ,2010-02-12,160,37.0,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
TQQQ,2010-02-12,160,37.5,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
TQQQ,2010-02-12,160,38.0,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
TQQQ,2010-02-12,160,38.5,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
TQQQ,2010-02-12,160,39.0,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
TQQQ,2010-02-12,160,39.5,0.4185826563975821,0.5293102620300426,-0.740388850327853,283.1199365858422,0.08994839026787908,0.15188006881297617
