seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
47,1.6631648223551516,40.5,0.7,66.5,58.5,14.0,1.1,29.5,40.0,
47,1.6631648223551516,40.5,0.7,66.5,58.0,14.0,1.1,29.5,40.0,
71,1.6631648223551516,40.5,0.7,66.5,58.5,14.0,1.1,30.0,40.0,
131,1.662921854270858,40.5,0.7,66.5,56.5,14.0,1.1,30.0,33.5,
11,1.6628911736419072,40.5,0.7,66.5,56.0,14.0,1.1,30.0,34.0,
29,1.6627439489569915,40.5,0.7,66.5,55.0,14.0,1.1,30.5,37.0,
11,1.662188062728795,40.5,0.7,66.5,55.5,14.0,1.1,30.0,36.0,
11,1.662188062728795,40.5,0.7,66.5,55.5,14.0,1.1,30.0,36.5,
29,1.662188062728795,40.5,0.7,66.5,55.5,14.0,1.1,29.5,36.5,
71,1.662188062728795,40.5,0.7,66.5,56.5,14.0,1.1,30.0,36.5,
71,1.662188062728795,40.5,0.7,66.5,58.5,14.0,1.1,30.0,36.0,
97,1.662188062728795,40.5,0.7,66.5,58.5,14.0,1.1,30.0,36.5,
47,1.6620155370390632,40.5,0.8,66.0,58.5,14.0,1.1,30.0,34.5,
47,1.6619533979640395,40.0,0.7,66.5,57.5,14.0,1.1,30.0,34.5,
131,1.6618695285397567,40.5,0.9,66.5,64.0,14.0,1.1,29.5,38.0,
11,1.6616677009904026,40.5,0.9,66.5,63.0,14.0,1.1,29.5,37.5,
29,1.6601130914179576,39.5,0.7,66.5,54.5,14.0,1.1,30.0,38.0,
71,1.6601130914179576,39.0,0.7,66.5,54.5,14.0,1.1,30.0,38.0,
29,1.6599734884524584,40.5,0.8,66.0,55.0,14.0,1.1,29.5,37.5,
97,1.6599734884524584,40.5,0.8,66.0,54.5,14.0,1.1,29.5,37.5,
131,1.6599734884524584,40.5,0.8,66.0,54.5,14.0,1.1,30.0,37.5,
71,1.6599113970447021,39.5,0.7,66.5,55.0,14.0,1.1,29.5,37.5,
97,1.6599113970447021,39.5,0.7,66.5,55.0,14.0,1.1,30.0,37.5,
11,1.6590842506082941,40.5,0.8,66.0,59.5,14.0,1.1,29.5,38.5,
11,1.6590842506082941,40.5,0.8,66.0,59.5,14.0,1.1,30.0,38.5,
11,1.6590842506082941,40.5,0.8,66.0,56.0,14.0,1.1,30.0,38.5,
11,1.6590842506082941,40.5,0.8,66.0,59.0,14.0,1.1,30.0,38.5,
11,1.6590842506082941,40.5,0.8,66.0,56.0,14.0,1.1,29.5,38.5,
47,1.6590842506082941,40.5,0.8,66.0,58.5,14.0,1.1,29.5,38.5,
47,1.6590842506082941,40.5,0.8,66.0,57.0,14.0,1.1,30.0,38.5,
71,1.6590842506082941,40.5,0.8,66.0,58.0,14.0,1.1,30.0,38.5,
71,1.6590842506082941,40.5,0.8,66.0,56.5,14.0,1.1,30.0,38.5,
71,1.6590842506082941,40.5,0.8,66.0,60.0,14.0,1.1,29.5,38.5,
131,1.6590842506082941,40.5,0.8,66.0,60.0,14.0,1.1,30.0,38.5,
11,1.659022179957899,39.0,0.7,66.5,58.0,14.0,1.1,30.0,38.5,
29,1.659022179957899,40.0,0.7,66.5,56.0,14.0,1.1,29.5,38.5,
29,1.659022179957899,40.0,0.7,66.5,56.0,14.0,1.1,30.0,38.5,
29,1.659022179957899,39.5,0.7,66.5,55.5,14.0,1.1,29.5,38.5,
47,1.659022179957899,39.0,0.7,66.5,58.0,14.0,1.1,29.5,38.5,
47,1.659022179957899,40.0,0.7,66.5,56.5,14.0,1.1,30.0,38.5,
71,1.659022179957899,40.0,0.7,66.5,56.5,14.0,1.1,29.5,38.5,
71,1.659022179957899,40.0,0.7,66.5,55.5,14.0,1.1,29.5,38.5,
97,1.659022179957899,39.0,0.7,66.5,58.5,14.0,1.1,30.0,38.5,
11,1.6588413133537752,40.5,0.8,66.0,56.0,14.0,1.1,30.0,37.0,
11,1.6588413133537752,40.5,0.8,66.0,57.5,14.0,1.1,29.5,37.0,
11,1.6588413133537752,40.5,0.8,66.0,59.0,14.0,1.1,29.5,37.0,
11,1.6588413133537752,40.5,0.8,66.0,56.5,14.0,1.1,29.5,37.0,
29,1.6588413133537752,40.5,0.8,66.0,60.0,14.0,1.1,30.0,37.0,
47,1.6588413133537752,40.5,0.8,66.0,57.5,14.0,1.1,30.0,37.0,
47,1.6588413133537752,40.5,0.8,66.0,59.0,14.0,1.1,30.0,37.0,
71,1.6588413133537752,40.5,0.8,66.0,56.0,14.0,1.1,29.5,37.0,
71,1.6588413133537752,40.5,0.8,66.0,57.0,14.0,1.1,30.0,37.0,
11,1.6587792483742323,39.5,0.7,66.5,58.5,14.0,1.1,30.0,37.0,
