feature,direction,threshold,threshold_pct_if_ratio,n,loss_rate,avg_return_pct,median_return_pct,avg_tqqq_episode_return_pct,tqqq_up_rate
GSPC_SMA20_RATIO,<=,0.019556952350981496,1.9556952350981496,39,0.358974358974359,2.9566117757830925,2.500685484671905,2.5485679154276077,0.6666666666666666
pre10_tqqq_open_return,>=,0.0753018264887774,,39,0.358974358974359,5.803844132701111,3.0941502907246177,1.1054671243191465,0.358974358974359
GSPC_CLOSE_RET_10D,>=,0.008880104194360383,0.8880104194360383,87,0.3563218390804598,3.483062287489978,2.500685484671905,2.0318371233697508,0.5287356321839081
GSPC_SMA160_Z,>=,1.7020388689160273,,68,0.35294117647058826,2.39288328099628,2.345037528471494,1.7320847092785794,0.5
GSPC_SMA50_RATIO,>=,0.03787440380552365,3.787440380552365,68,0.35294117647058826,3.926164755979394,2.970274973487108,2.051071554651146,0.4852941176470588
GSPC_SMA50_RATIO,<=,0.04963202029046583,4.963202029046583,68,0.35294117647058826,2.2454977304429273,2.345037528471494,1.6202228497161848,0.5
GSPC_SMA160_RATIO,<=,0.10466641280141929,10.466641280141928,77,0.35064935064935066,2.6987791123905414,2.500685484671905,1.843289416572248,0.4935064935064935
GSPC_CLOSE_RET_10D,>=,0.012286904210377791,1.2286904210377791,77,0.35064935064935066,3.6262638876105497,2.500685484671905,2.1470959999170836,0.5324675324675324
GSPC_BB20_Z,<=,1.4737420275733766,,20,0.35,1.916573900328561,2.1721549866402734,1.431272912691627,0.45
GSPC_SMA160_SLOPE_20D,<=,0.0049433855024281215,0.49433855024281215,20,0.35,3.153463345924286,4.790474071535122,2.093984150927721,0.55
GSPC_SMA160_SLOPE_20D,<=,0.011674224747298512,1.1674224747298512,49,0.3469387755102041,3.6680809448803164,2.115097492596818,2.092330224699928,0.5102040816326531
pre10_tqqq_open_return,>=,0.0635815450928853,,49,0.3469387755102041,5.084614391832694,3.323316802816323,1.2315170806480578,0.4489795918367347
GSPC_SMA160_Z,>=,1.3544677638586997,,87,0.3448275862068966,2.3808387636332036,2.500685484671905,1.7427184182144222,0.5057471264367817
GSPC_SMA50_RATIO,<=,0.05897555042879579,5.8975550428795795,87,0.3448275862068966,2.285535661582855,2.500685484671905,1.675137676935626,0.4942528735632184
GSPC_BB20_Z,<=,2.5644966344714892,,87,0.3448275862068966,3.8605852972128623,3.0941502907246177,1.950853615123808,0.5057471264367817
GSPC_SMA160_SLOPE_20D,>=,0.0011670745686652058,0.11670745686652058,87,0.3448275862068966,3.0104575623243144,2.500685484671905,1.855487957201427,0.4942528735632184
GSPC_SMA160_RATIO,<=,0.0837824786516967,8.378247865169671,58,0.3448275862068966,2.9418359779823167,3.3772825165347853,1.7898771850056636,0.5172413793103449
GSPC_SMA160_Z,>=,1.8404586536455758,,58,0.3448275862068966,2.6320238141830745,2.345037528471494,1.7382129491961817,0.5
GSPC_SMA160_Z,<=,2.117666527445349,,58,0.3448275862068966,4.087937014246604,3.2674334896911073,1.9589057057090902,0.5172413793103449
GSPC_SMA50_RATIO,>=,0.04025776152600523,4.025776152600523,58,0.3448275862068966,3.6889763637073765,2.970274973487108,1.9526247009053925,0.4482758620689655
GSPC_BB20_Z,<=,1.8949145326353865,,58,0.3448275862068966,3.7093399245789747,2.7306823106615252,1.6890375739688763,0.4827586206896552
GSPC_SMA160_SLOPE_20D,>=,0.01051599091062423,1.0515990910624229,58,0.3448275862068966,2.954272868000034,3.2087335467704703,1.6152462775881518,0.4827586206896552
GSPC_CLOSE_RET_10D,<=,0.02490067565576486,2.490067565576486,58,0.3448275862068966,3.594903293075539,2.389114408236548,2.203749180051239,0.5
pre10_tqqq_open_return,>=,0.05072573031965694,,58,0.3448275862068966,4.919339744662203,3.2087335467704703,1.2188847898504516,0.4482758620689655
GSPC_SMA160_Z,>=,2.208823866889909,,29,0.3448275862068966,3.26304594063229,2.4125317251417977,2.1332135528174634,0.5517241379310345
GSPC_SMA160_RATIO,<=,0.09650792747031156,9.650792747031156,68,0.3382352941176471,2.8469550880564785,3.151593806569697,1.8839576800237425,0.5
GSPC_SMA20_RATIO,>=,0.018418824101907785,1.8418824101907785,68,0.3382352941176471,3.9500206715027217,3.368681227295678,1.3801260742148218,0.4117647058823529
GSPC_SMA160_SLOPE_20D,>=,0.00741182000697318,0.741182000697318,68,0.3382352941176471,2.733755416576504,2.7306823106615252,1.7558776635478641,0.5
GSPC_CLOSE_RET_10D,>=,0.015834514600898377,1.5834514600898377,68,0.3382352941176471,3.544654672254736,2.740278147497488,2.31251369633359,0.5294117647058824
GSPC_CLOSE_RET_10D,<=,0.028907569153004162,2.8907569153004165,68,0.3382352941176471,3.783556456936036,3.141997969733734,2.124483133893232,0.5147058823529411
pre10_tqqq_open_return,>=,0.03107996002024992,,68,0.3382352941176471,4.602568563060841,3.2087335467704703,1.2786518225175367,0.4411764705882353
GSPC_SMA50_RATIO,<=,0.05254388295348638,5.254388295348638,77,0.33766233766233766,2.2618871609455535,2.418645380786444,1.7503191974089858,0.5194805194805194
GSPC_SMA20_RATIO,>=,0.01591252031712176,1.5912520317121759,77,0.33766233766233766,4.106203775334014,3.323316802816323,1.881521231173585,0.4675324675324675
GSPC_SMA20_RATIO,<=,0.02865736149065743,2.865736149065743,77,0.33766233766233766,3.63462169108935,2.9606791366511453,2.04929145428962,0.5194805194805194
pre10_tqqq_open_return,>=,0.020243879881584086,,77,0.33766233766233766,4.050008394598326,3.0941502907246177,1.3082976241658768,0.45454545454545453
pre10_tqqq_open_return,<=,0.10569576300008936,,77,0.33766233766233766,3.338323561376557,2.500685484671905,2.240111866919487,0.5454545454545454
GSPC_SMA20_RATIO,>=,0.014884187111755588,1.4884187111755587,87,0.3333333333333333,3.654983888654281,3.323316802816323,1.9372301514902945,0.4942528735632184
