Date,gspc_open,gspc_close_sma160_prev,signal_below_prev_close_sma_open,tqqq_open,tqqq_peak_open,tqqq_drawdown_from_peak,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2019-04-16,2912.260009765625,2751.6953689575193,False,7.536824874635251,8.637991164221006,-0.12747944153344837,above,above,0.0100766287322118,-0.0003167134961267,0.009756723831770175,38.852823370453464
2019-04-17,2916.0400390625,2751.8976821899414,False,7.681237495415469,8.637991164221006,-0.11076113075554639,above,above,0.0194838205124723,-0.0093225960709804,0.009979584652934692,39.24055841028442
2019-04-18,2904.81005859375,2751.9208694458007,False,7.647820506038619,8.637991164221006,-0.11462973732639636,above,above,0.0050189159056939,-0.0018727019842854,0.003136814987632963,39.36364878202889
2019-04-22,2898.780029296875,2751.9678070068358,False,7.536826219915351,8.637991164221006,-0.12747928579352286,above,above,-0.0126642061346046,0.0213776475297133,0.008442710460119462,39.69598467134939
2019-04-23,2909.989990234375,2751.92986907959,False,7.758810425309746,8.637991164221006,-0.10178069439951165,above,above,0.0079066016158297,0.0298414820529677,0.037984028379016266,41.20379807963892
2019-04-24,2934.0,2752.1333068847657,False,8.008250797452424,8.637991164221006,-0.07290356690534694,above,above,0.0022409508563492,-0.0119224357757894,-0.009708202512101693,40.803783263614044
2019-04-25,2928.989990234375,2752.2941192626954,False,8.088212442609667,8.637991164221006,-0.06364659457959976,above,above,0.0221716839671943,-0.0107716653932247,0.011161192613070803,41.25920214796123
2019-04-26,2925.81005859375,2752.4781814575194,False,7.973638838444968,8.637991164221006,-0.07691051231075796,above,above,-0.0034307937785029,0.0070348935470463,0.0035799644995297975,41.406908626929855
2019-04-29,2940.580078125,2752.7986801147463,False,8.027347474450167,8.637991164221006,-0.07069278934900469,above,above,-0.000297029121993,0.0056496764993896,0.005350969258946403,41.62847572210056
2019-04-30,2937.139892578125,2753.2048049926757,False,7.876967109264639,8.637991164221006,-0.08810197191548041,above,above,-0.0242461997020136,0.0013635808771306,-0.02291568047913972,40.674530873619275
