Date,signal_source,signal_price,signal_sma,signal_below_sma,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2017-04-25,TECH_UNDERLIER,12.79561514960344,11.696576385535776,False,False,above,above,0.03486794714419017,1252328.663162825,0.016190422069764843,0.7977532711566033
2017-04-26,TECH_UNDERLIER,12.781417920887884,11.706950511147657,False,False,above,above,0.016190422069764843,1272604.3927894954,-0.0031577879407964637,0.7952341354972141
2017-04-27,TECH_UNDERLIER,12.833469810158329,11.71747470892523,False,False,above,above,-0.0031577879407964637,1268585.7779845402,0.013822807250674973,0.8062265036713493
2017-04-28,TECH_UNDERLIER,12.86659733659271,11.72877556648051,False,False,above,above,0.013822807250674973,1286121.194674568,0.004970867174916904,0.8102341485339972
2017-05-01,TECH_UNDERLIER,12.963604973643637,11.74237703806357,False,False,above,above,0.004970867174916904,1292514.3323041408,0.021905186631712814,0.8279824787730213
2017-05-02,TECH_UNDERLIER,12.99199547448624,11.755031277629021,False,False,above,above,0.021905186631712814,1320827.0999774267,0.006084852473690949,0.8330206300071561
2017-05-03,TECH_UNDERLIER,12.968340020941161,11.768034296653665,False,False,above,above,0.006084852473690949,1328864.1380240424,-0.006185503403479231,0.8278679780650784
2017-05-04,TECH_UNDERLIER,12.958869926346113,11.780656778414167,False,False,above,above,-0.006185503403479231,1320644.4443755331,-0.0008300651708135209,0.8271807936904547
2017-05-05,TECH_UNDERLIER,13.006192703201794,11.792450361064313,False,False,above,above,-0.0008300651708135209,1319548.2234192286,0.011627880811771796,0.8367991533692741
2017-05-08,TECH_UNDERLIER,13.062977661475509,11.804854037298128,False,False,above,above,0.011627880811771796,1334891.7728865326,0.012315361421707083,0.8471046373803952
2017-05-09,TECH_UNDERLIER,13.079539940972008,11.81749321709857,False,False,above,above,0.012315361421707083,1351331.4475284936,0.0033792492858362166,0.8499672151212915
2017-05-10,TECH_UNDERLIER,13.129227768608635,11.830486950504557,False,False,above,above,0.0033792492858362166,1355897.9333574823,0.011720360112417616,0.8599291369662617
2017-05-11,TECH_UNDERLIER,13.112666478259262,11.842599873122523,False,False,above,above,0.011720360112417616,1371789.5454121148,-0.003328853062236181,0.8570665592253655
2017-05-12,TECH_UNDERLIER,13.145794004693645,11.85449454660906,False,False,above,above,-0.003328853062236181,1367223.059583126,0.00814970940231774,0.8640514026214965
2017-05-15,TECH_UNDERLIER,13.219138275022479,11.867463594612058,False,False,above,above,0.00814970940231774,1378365.5302068763,0.014046982823497256,0.8761887178327393
2017-05-16,TECH_UNDERLIER,13.280655313152334,11.881227756168851,False,False,above,above,0.014046982823497256,1397727.407134193,0.014767435454015487,0.8891277781688709
2017-05-17,TECH_UNDERLIER,12.918650215010278,11.891966759609417,False,False,above,above,0.014767435454015487,1418368.2564013556,-0.08267875336018171,0.8156158018919605
2017-05-18,TECH_UNDERLIER,12.994362503561437,11.903046950804974,False,False,above,above,-0.08267875336018171,1301099.3371564369,0.020918336736230003,0.8326771278833268
2017-05-19,TECH_UNDERLIER,13.070075781259721,11.915025683250807,False,False,above,above,0.020918336736230003,1328316.1712183608,0.015263946144300267,0.8453870667189285
