condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct,rule_size,loss_capture_efficiency
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.815883640506653,0.09375,0.12307692307692308,86,0.6627906976744186,2.335354720427124,3.0274147136878815,-0.007312395109086545,-1.3019156507306677,2,0.76171875
GSPC_CLOSE_RET_20D >= 4.472% AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.815883640506653,0.09375,0.12307692307692308,86,0.6627906976744186,2.335354720427124,3.0274147136878815,-0.007312395109086545,-1.3019156507306677,2,0.76171875
GSPC_CLOSE_RET_20D >= 4.929% AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.815883640506653,0.09375,0.12307692307692308,86,0.6627906976744186,2.335354720427124,3.0274147136878815,-0.007312395109086545,-1.3019156507306677,2,0.76171875
pre20_tqqq_open_return >= 17.767% AND pre5_tqqq_open_return >= 3.805%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.979507969608335,0.09375,0.12307692307692308,86,0.6627906976744186,2.3144260271699313,2.7306823106615252,-0.007312395109086545,-1.3228443439878603,2,0.76171875
pre20_tqqq_open_return >= 17.767% AND pre5_tqqq_open_return >= 4.259%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.979507969608335,0.09375,0.12307692307692308,86,0.6627906976744186,2.3144260271699313,2.7306823106615252,-0.007312395109086545,-1.3228443439878603,2,0.76171875
pre5_tqqq_open_return <= 1.456% AND GSPC_SMA20_RATIO <= 1.711%,97,0.6701030927835051,3.6372703711577916,14,4,10,0.2857142857142857,0.9406420541452426,0.125,0.15384615384615385,83,0.6626506024096386,4.0921233402924395,3.4312482302532477,-0.007452490373866527,0.4548529691346479,2,0.8125
days_since_previous_exit <= 2.000,97,0.6701030927835051,3.6372703711577916,17,5,12,0.29411764705882354,2.108307508159171,0.15625,0.18461538461538463,80,0.6625,3.9621749795449985,3.368681227295678,-0.007603092783505128,0.3249046083872069,1,0.8463541666666666
entry_rsi <= 69.965,97,0.6701030927835051,3.6372703711577916,20,6,14,0.3,1.266982610411562,0.1875,0.2153846153846154,77,0.6623376623376623,4.252929529793176,3.323316802816323,-0.007765430445842769,0.6156591586353848,1,0.8705357142857142
GSPC_SMA20_RATIO <= 1.591%,97,0.6701030927835051,3.6372703711577916,20,6,14,0.3,1.8318767650793357,0.1875,0.2153846153846154,77,0.6623376623376623,4.106203775334014,3.323316802816323,-0.007765430445842769,0.4689334041762221,1,0.8705357142857142
pre10_tqqq_open_return <= 2.024%,97,0.6701030927835051,3.6372703711577916,20,6,14,0.3,2.048228980911735,0.1875,0.2153846153846154,77,0.6623376623376623,4.050008394598326,3.0941502907246177,-0.007765430445842769,0.412738023440534,1,0.8705357142857142
